customer_id,latitude,longitude,tower_id,city,state,zip_code,distance_from_tower_km,urbanization_level
137,41.90740329,-87.62427134,30059,Chicago,IL,43212,7.32,Low
138,41.92336262,-87.62197404,40297,Chicago,IL,60661,3.04,Low
139,41.90949954,-87.60067348,38196,Chicago,IL,97650,1.73,High
140,41.8833058,-87.63767914,32105,Chicago,IL,37759,8.37,Low
141,34.01577157,-118.2246354,39595,Los Angeles,CA,60574,15.42,High
142,25.78929008,-80.15375641,33153,Miami,FL,89790,14.97,Medium
143,40.66353953,-73.98451164,40453,New York,NY,82469,1.35,High
144,25.79089493,-80.16674077,36586,Miami,FL,92047,5.91,Low
145,34.05451596,-118.2753405,20785,Los Angeles,CA,96215,10.43,Medium
146,34.06942339,-118.253594,33166,Los Angeles,CA,47544,4.75,Low
147,34.09478099,-118.2231662,30,Los Angeles,CA,81819,10.08,Low
148,40.70287569,-73.99678926,15952,New York,NY,65572,5.06,Medium
149,34.05501805,-118.2320791,30930,Los Angeles,CA,29811,10.18,Medium
150,25.80120348,-80.204961,31028,Miami,FL,14261,5.46,Medium
151,29.74319609,-95.33882313,21521,Houston,TX,25003,10.08,High
152,25.80705642,-80.14974432,40358,Miami,FL,42942,9.42,High
153,29.72972713,-95.37348468,29232,Houston,TX,13414,13,High
154,41.84084346,-87.6089223,42508,Chicago,IL,72449,9.52,Low
155,29.80818404,-95.38495218,46995,Houston,TX,70688,4.75,Medium
156,34.08257641,-118.2709978,20608,Los Angeles,CA,13970,16.9,Medium
157,40.69380483,-74.03472801,513,New York,NY,52490,5.2,Low
158,25.79870279,-80.23997452,3194,Miami,FL,46260,4.91,Medium
159,41.87502659,-87.67822933,18752,Chicago,IL,77329,13.25,Medium
160,29.79569821,-95.32362841,38117,Houston,TX,38799,18.65,Medium
161,40.69127963,-74.0073309,30364,New York,NY,69068,5.36,Low
162,25.76473611,-80.2370825,1495,Miami,FL,77317,19.56,High
163,41.86631375,-87.65466492,39652,Chicago,IL,48660,17.36,Low
164,41.8861941,-87.58865128,18174,Chicago,IL,65197,5.15,High
165,41.92131215,-87.62075,3648,Chicago,IL,37443,17.29,High
166,25.80511254,-80.1765358,9701,Miami,FL,69288,6.83,High
167,25.71622561,-80.20015776,32861,Miami,FL,66183,9.16,Medium
168,29.79560359,-95.41714746,4764,Houston,TX,74175,9.91,High
169,34.02600619,-118.2452539,9026,Los Angeles,CA,49429,17.12,Low
170,34.02065585,-118.2483917,40888,Los Angeles,CA,52239,18.76,Medium
171,40.68942452,-74.0415959,8563,New York,NY,97539,13.86,High
172,29.73603718,-95.39367796,12970,Houston,TX,32225,6.41,Medium
173,40.68920884,-73.98594033,18776,New York,NY,31314,18.2,Medium
174,41.86355402,-87.58599256,35158,Chicago,IL,26007,0.12,High
175,25.71358869,-80.17962806,45367,Miami,FL,51606,5.33,Low
176,25.74217188,-80.2160506,44533,Miami,FL,32315,10.39,High
177,34.05093867,-118.2071533,7882,Los Angeles,CA,82935,11.66,High
178,40.68262705,-73.98813192,31378,New York,NY,96044,16.34,High
179,40.7137885,-74.02195773,12548,New York,NY,98135,18.66,High
180,41.8741489,-87.62035051,291,Chicago,IL,33129,12.9,Medium
181,34.03857593,-118.2849319,36217,Los Angeles,CA,34698,8.14,High
182,25.75952564,-80.19334072,45639,Miami,FL,60639,14.31,High
183,34.08646088,-118.2328672,49227,Los Angeles,CA,88204,9.11,Low
184,34.10193408,-118.2280668,11007,Los Angeles,CA,34325,13.68,Medium
185,40.7528536,-74.04680846,27398,New York,NY,33305,18.37,High
186,34.05331929,-118.2656623,29435,Los Angeles,CA,22124,13.26,High
187,40.68669781,-74.01133463,21345,New York,NY,34664,16.48,Medium
188,25.72520102,-80.23884273,19622,Miami,FL,79930,18.48,High
189,41.83187369,-87.58584758,41475,Chicago,IL,72032,15.66,Medium
190,40.72252667,-74.01370955,14476,New York,NY,37959,3.41,Low
191,40.73988868,-74.01823908,18441,New York,NY,54727,13.82,Low
192,41.83182825,-87.6345224,25574,Chicago,IL,62012,8.67,Medium
193,40.76198403,-73.96719078,20265,New York,NY,55160,1.56,High
194,25.79899195,-80.19333137,1857,Miami,FL,90599,18.92,Low
195,41.84531637,-87.66353886,19989,Chicago,IL,76362,8.72,Low
196,40.75774396,-74.04106839,11407,New York,NY,47065,9.86,Low
197,29.80691996,-95.33620896,43217,Houston,TX,85084,2.76,Medium
198,40.6887489,-74.04451533,19859,New York,NY,64705,3.14,Low
199,40.71599592,-74.03396103,45661,New York,NY,17643,5.05,High
200,29.7983693,-95.34910673,33582,Houston,TX,63507,17.67,High
201,34.02494667,-118.2386475,14807,Los Angeles,CA,74194,10.01,Medium
202,41.8823565,-87.66647606,37820,Chicago,IL,82734,2.05,Low
203,29.71572229,-95.33022257,45690,Houston,TX,50243,7.96,Low
204,40.74152178,-73.98296097,37731,New York,NY,18446,19.63,Medium
205,40.75318572,-73.98988119,24094,New York,NY,65347,18.27,Low
206,40.66950877,-73.95820775,34932,New York,NY,72898,19.54,High
207,34.10214263,-118.2446304,22794,Los Angeles,CA,43446,10.98,High
208,34.10195389,-118.2713764,19948,Los Angeles,CA,12421,1.83,High
209,41.87790511,-87.62827861,43298,Chicago,IL,74592,3.22,Medium
210,34.0565007,-118.2308522,49917,Los Angeles,CA,69651,2.09,Medium
211,25.80177766,-80.22223885,24313,Miami,FL,98728,12.79,High
212,25.73384405,-80.19420123,29339,Miami,FL,67879,0.32,High
213,34.04020612,-118.2109927,1293,Los Angeles,CA,86919,2.4,Medium
214,41.88210745,-87.65668402,11912,Chicago,IL,71711,5.56,High
215,29.72340527,-95.39835048,14065,Houston,TX,24185,16.18,High
216,40.69158848,-73.97248947,2708,New York,NY,89436,18.3,High
217,34.07121329,-118.2140435,1193,Los Angeles,CA,75968,16.65,Low
218,41.87949946,-87.64477733,34001,Chicago,IL,81647,17.71,Low
219,29.78819985,-95.33357092,38981,Houston,TX,56149,3.91,Low
220,25.72161871,-80.19055483,49174,Miami,FL,16682,1.84,Low
221,40.67638962,-74.03948566,20197,New York,NY,57382,7.19,High
222,25.79084734,-80.20096966,6038,Miami,FL,20617,17.52,Low
223,29.78770415,-95.35748971,12940,Houston,TX,20016,14.95,Low
224,25.78314113,-80.19857847,31716,Miami,FL,18300,18.51,High
225,25.79919428,-80.22213571,7081,Miami,FL,87178,6.54,Medium
226,29.7788126,-95.41910749,29616,Houston,TX,85958,10.62,Medium
227,29.77920885,-95.41151841,23447,Houston,TX,70594,10.43,Medium
228,25.72943715,-80.15056944,12676,Miami,FL,59750,10.27,Medium
229,29.79410042,-95.36177414,41811,Houston,TX,40530,16.25,High
230,34.03533895,-118.2785085,17181,Los Angeles,CA,42519,8.63,High
231,40.69358924,-74.01058821,34589,New York,NY,98863,15.56,High
232,40.74953359,-73.96462717,45606,New York,NY,39136,13.32,Low
233,41.91411545,-87.63522159,22080,Chicago,IL,82134,10.96,High
234,41.83875027,-87.61582848,26402,Chicago,IL,83483,12.17,Medium
235,40.72053975,-74.0446559,46263,New York,NY,64155,10.83,Medium
236,41.87772967,-87.65118743,3983,Chicago,IL,47943,15.31,High
237,41.92449239,-87.67433661,27098,Chicago,IL,17104,14.21,Medium
238,25.74485888,-80.2279318,33952,Miami,FL,67589,14.95,High
239,34.07035352,-118.243881,46918,Los Angeles,CA,83675,0.16,High
240,25.71931031,-80.17696092,25132,Miami,FL,87619,4.86,High
241,40.70660426,-73.9625068,12706,New York,NY,83265,19.26,Low
242,25.79458038,-80.21844581,25427,Miami,FL,19586,16.13,High
243,40.70088556,-74.05375894,14028,New York,NY,74726,1.52,Low
244,29.74110361,-95.40099055,44840,Houston,TX,63218,18.09,Medium
245,29.74555252,-95.39129013,29582,Houston,TX,26958,0.19,Low
246,41.8657643,-87.61140178,37930,Chicago,IL,42583,0.89,Medium
247,29.79887196,-95.36422688,28785,Houston,TX,38036,19.57,High
248,25.77029918,-80.17305603,17792,Miami,FL,33996,3.68,High
249,41.90743071,-87.61904063,17395,Chicago,IL,49056,17.15,High
250,25.73421714,-80.23246343,19471,Miami,FL,90915,14.74,High
251,29.78079279,-95.38701943,4056,Houston,TX,25440,4.38,High
252,41.90124565,-87.6263609,41693,Chicago,IL,89710,15.55,Medium
253,40.70726498,-73.99618708,28457,New York,NY,39270,10.35,High
254,34.03018716,-118.2393825,841,Los Angeles,CA,33803,4.36,High
255,29.73800128,-95.37355956,41576,Houston,TX,94408,17.16,High
256,25.80544015,-80.18802607,21442,Miami,FL,41428,18.99,Medium
257,41.83276867,-87.60495831,40623,Chicago,IL,84195,4.86,Low
258,25.73877059,-80.18907778,26078,Miami,FL,98702,4.81,Low
259,34.00622616,-118.2030901,16997,Los Angeles,CA,52822,4.72,Medium
260,40.68568212,-74.00255573,36500,New York,NY,94584,0.6,Medium
261,34.09850879,-118.2758488,19253,Los Angeles,CA,92636,15.77,Medium
262,29.79820318,-95.41099774,39605,Houston,TX,67308,17.93,Medium
263,25.73532494,-80.14505489,8655,Miami,FL,52374,2.28,High
264,40.73727383,-73.99243619,16596,New York,NY,17517,17.88,Medium
265,29.7987562,-95.37269454,26942,Houston,TX,13981,3.26,Medium
266,41.84479346,-87.5972401,16308,Chicago,IL,75948,19.67,Low
267,40.74622174,-73.97181201,34103,New York,NY,61872,7.08,Low
268,29.80140346,-95.39569184,36668,Houston,TX,25374,10.1,Low
269,41.84536448,-87.63802615,17151,Chicago,IL,28264,9.7,Low
270,41.9212748,-87.61124751,22001,Chicago,IL,71014,5.66,High
271,41.86448169,-87.58952967,10789,Chicago,IL,53122,16.48,Medium
272,34.09372713,-118.2152596,9714,Los Angeles,CA,46278,11.75,Low
273,41.91322624,-87.65011295,46372,Chicago,IL,21396,15.26,Medium
274,40.74467586,-74.02931136,49735,New York,NY,28069,7.64,High
275,25.71412136,-80.15498497,36515,Miami,FL,95569,10.28,Low
276,34.08882737,-118.2762426,44581,Los Angeles,CA,84192,15.42,High
277,25.77070012,-80.21603868,11343,Miami,FL,15009,12.05,High
278,41.84449449,-87.61857444,15992,Chicago,IL,71416,1.22,High
279,41.85306802,-87.64929386,38763,Chicago,IL,39472,1.5,Low
280,41.87660596,-87.64312846,36891,Chicago,IL,43906,18.93,High
281,34.09060453,-118.2680367,21785,Los Angeles,CA,12463,17.89,High
282,41.88073062,-87.62036395,24475,Chicago,IL,25176,3.14,Medium
283,41.84170785,-87.60373951,3845,Chicago,IL,53500,5.4,High
284,29.784928,-95.37195786,9637,Houston,TX,48898,6.68,Medium
285,29.73565984,-95.38520537,24654,Houston,TX,63072,1.07,Low
286,40.74293038,-73.97559945,33635,New York,NY,94251,15.35,Medium
287,41.85126273,-87.66023029,38552,Chicago,IL,58119,18.6,Medium
288,25.75469673,-80.15764279,29439,Miami,FL,77383,4.14,Medium
289,29.77449874,-95.32401469,19194,Houston,TX,70209,0.24,Medium
290,41.88494977,-87.63423617,30774,Chicago,IL,10979,7.23,Medium
291,41.90549893,-87.64754305,10738,Chicago,IL,91646,8.1,High
292,34.04837401,-118.2158736,14308,Los Angeles,CA,58910,8.11,High
293,25.77189327,-80.16100746,31451,Miami,FL,30446,1.81,High
294,34.0256326,-118.2133966,49879,Los Angeles,CA,13577,0.4,High
295,34.02351732,-118.2512316,15201,Los Angeles,CA,37472,0.84,Medium
296,41.88989996,-87.62849425,13937,Chicago,IL,15410,2.88,Low
297,29.72547596,-95.34548958,45252,Houston,TX,97554,6.41,Medium
298,25.71477892,-80.20957579,44477,Miami,FL,57625,13.62,High
299,40.69117521,-74.02869635,25787,New York,NY,78711,11.72,Low
300,34.02388841,-118.2616917,37255,Los Angeles,CA,48143,12.84,Low
301,29.7295233,-95.35358283,38714,Houston,TX,76997,8.24,High
302,34.07175209,-118.1985474,42830,Los Angeles,CA,69971,2.17,Low
303,29.74125709,-95.36756953,39808,Houston,TX,94136,0.39,Low
304,40.66876113,-74.02359266,38791,New York,NY,79052,16.28,Medium
305,25.79864785,-80.21782788,13232,Miami,FL,47647,7.63,Medium
306,34.08184553,-118.1981408,4953,Los Angeles,CA,59797,4.52,High
307,40.72038466,-74.02363649,34612,New York,NY,96965,1.1,Medium
308,34.04426396,-118.2324886,33347,Los Angeles,CA,76242,0.25,Low
309,34.092255,-118.2221623,37893,Los Angeles,CA,42262,4.54,Low
310,40.74441376,-73.98499505,17630,New York,NY,20392,3.8,Medium
311,41.88547623,-87.62357394,45990,Chicago,IL,59996,8.61,Medium
312,29.78595652,-95.37667093,2156,Houston,TX,56961,8.47,Medium
313,25.74407883,-80.16203769,4580,Miami,FL,61005,10.98,Medium
314,34.06594905,-118.2418133,13881,Los Angeles,CA,20124,2.27,High
315,34.01531801,-118.2542419,12620,Los Angeles,CA,32164,0.7,Low
316,34.05968297,-118.2116006,20798,Los Angeles,CA,22472,3.04,Low
317,34.05305747,-118.2200928,34837,Los Angeles,CA,45998,15.55,High
318,29.74951746,-95.41436292,11503,Houston,TX,96562,7.9,Low
319,34.07819464,-118.2740672,45777,Los Angeles,CA,41897,3.33,Medium
320,25.72061035,-80.24054937,13502,Miami,FL,27346,12.89,High
321,29.73159949,-95.35610771,32014,Houston,TX,68273,10.49,High
322,25.8112919,-80.21150899,14658,Miami,FL,53267,3.62,High
323,25.74540571,-80.22899173,5657,Miami,FL,52820,15.42,Low
324,41.83562258,-87.64418564,36844,Chicago,IL,53055,2.58,Low
325,34.00846685,-118.2099641,30678,Los Angeles,CA,37606,0.13,Low
326,41.91559309,-87.62296508,13076,Chicago,IL,86519,7.43,Low
327,29.72922828,-95.3995778,35107,Houston,TX,84796,2.73,High
328,25.79713204,-80.14258697,6799,Miami,FL,73676,10.23,High
329,41.83438044,-87.60463293,17755,Chicago,IL,94923,17.14,Medium
330,25.73998486,-80.2014213,37584,Miami,FL,94973,11.54,High
331,29.73627301,-95.38629057,39674,Houston,TX,87734,8.36,Medium
332,40.67431036,-73.96308193,19676,New York,NY,96108,5.51,High
333,41.92336182,-87.60011104,12350,Chicago,IL,63037,1.32,Medium
334,34.04144853,-118.2299165,2889,Los Angeles,CA,21232,18.62,High
335,34.0319238,-118.2060353,18218,Los Angeles,CA,21815,11.15,Low
336,40.70611331,-74.00181234,12317,New York,NY,70683,16.82,High
337,25.73542095,-80.22637638,32761,Miami,FL,97194,7.55,Low
338,41.9084931,-87.6497358,27846,Chicago,IL,83200,7.84,High
339,40.73338195,-74.00121562,8241,New York,NY,17365,14.71,Medium
340,41.83181486,-87.64916224,11462,Chicago,IL,50738,1.7,Medium
341,29.72520071,-95.38485946,46607,Houston,TX,79218,4.53,High
342,41.88137084,-87.58901754,23178,Chicago,IL,39831,19.47,Medium
343,34.04119827,-118.2278645,37532,Los Angeles,CA,66502,8.9,High
344,41.83976976,-87.6604776,31809,Chicago,IL,73322,10.23,High
345,34.0469416,-118.2218882,46597,Los Angeles,CA,37867,12.39,Low
346,34.05259329,-118.2332342,23525,Los Angeles,CA,67987,14.13,Medium
347,25.74829371,-80.15797294,16608,Miami,FL,62810,15.6,Low
348,41.89022912,-87.61545921,33678,Chicago,IL,59436,16.86,High
349,29.72434525,-95.3702906,46719,Houston,TX,61905,16.82,High
350,25.77726853,-80.17389989,15106,Miami,FL,76263,14.19,Low
351,41.8695919,-87.63986534,40471,Chicago,IL,52382,16.67,Medium
352,34.05414037,-118.2452965,37365,Los Angeles,CA,48921,18.47,Low
353,40.72378574,-74.0123471,41201,New York,NY,10557,1.02,High
354,41.92552337,-87.60498217,15975,Chicago,IL,20300,6.4,Medium
355,34.07072093,-118.2433924,14395,Los Angeles,CA,91411,16.09,Low
356,41.85124584,-87.59427177,42066,Chicago,IL,91248,2.69,High
357,34.0883944,-118.2169267,17070,Los Angeles,CA,55574,18.34,High
358,34.06744412,-118.2811819,9509,Los Angeles,CA,34735,3.05,Medium
359,25.75446491,-80.21384832,3980,Miami,FL,63072,8.34,Low
360,34.08470394,-118.2621984,21076,Los Angeles,CA,18526,3.02,High
361,34.06993774,-118.1995204,23044,Los Angeles,CA,20378,5.24,High
362,34.07810309,-118.1964961,27303,Los Angeles,CA,90489,13.69,Medium
363,29.743402,-95.34231464,3935,Houston,TX,47161,11.44,Low
364,29.73551865,-95.39801403,4941,Houston,TX,25899,15.54,Low
365,29.77540667,-95.37790926,12439,Houston,TX,92248,19.92,Low
366,41.89802094,-87.59119909,23438,Chicago,IL,20832,19.45,Medium
367,41.90309977,-87.64864281,45062,Chicago,IL,15553,4.87,High
368,29.73748661,-95.33933442,44472,Houston,TX,26284,3.6,Medium
369,34.03819655,-118.2525676,21837,Los Angeles,CA,28941,16.32,Low
370,41.90268291,-87.6250883,34769,Chicago,IL,42326,8.98,Low
371,40.72771481,-74.00466396,47721,New York,NY,76863,6.36,Low
372,41.92551478,-87.6552849,38657,Chicago,IL,35907,7.17,Low
373,29.76304745,-95.32338114,2986,Houston,TX,18794,7.95,Low
374,29.72231117,-95.34752789,19514,Houston,TX,76730,1.82,High
375,41.9103752,-87.58141414,36097,Chicago,IL,35654,13.31,Low
376,25.72551702,-80.17600538,30250,Miami,FL,11501,8.44,Low
377,34.04688437,-118.2934241,37099,Los Angeles,CA,76580,14.08,Medium
378,41.83645497,-87.60249526,20225,Chicago,IL,25838,8.91,Low
379,41.88692148,-87.59879706,29316,Chicago,IL,29950,2.79,Low
380,25.74382249,-80.20344041,39729,Miami,FL,59502,6.63,Medium
381,40.66457441,-74.02246113,28777,New York,NY,11625,10.16,High
382,29.74479956,-95.32070034,7921,Houston,TX,86492,9.88,Medium
383,34.04779919,-118.2121319,1382,Los Angeles,CA,72292,16.26,Low
384,41.86968492,-87.5888442,39836,Chicago,IL,74217,11.7,High
385,25.76951647,-80.23387691,6580,Miami,FL,22209,16.94,Low
386,41.90379185,-87.60359413,26607,Chicago,IL,86691,8.46,High
387,29.76431682,-95.34521122,46161,Houston,TX,75467,18.2,High
388,29.72955185,-95.3721387,48279,Houston,TX,49388,5.15,Low
389,29.74693925,-95.32201159,33129,Houston,TX,60696,16.52,High
390,34.0244325,-118.2486543,46933,Los Angeles,CA,78405,7.76,High
