customer_id,internet_usage_gb,internet_speed_avg_mbps,latency_ms,weekend_data_ratio,peak_usage_hour
87,42.94,102.868,85.429,0.74,3
88,97.82,48.76,106.75,0.58,2
89,168.24,303.448,160.794,0.31,22
90,128.14,395.879,173.652,0.79,17
91,41.81,133.673,170.952,0.23,6
92,109.37,236.11,138.323,0.11,19
93,175.02,152.405,19.747,0.25,23
94,235.38,303.631,54.386,0.23,14
95,252.85,254.071,38.76,0.67,13
96,211.22,156.597,146.017,0.54,11
97,162.48,128.898,78.697,0.18,12
98,9.08,135.845,71.804,0.66,11
99,148.08,328.932,27.382,0.38,18
100,183.33,14.331,95.194,0.28,19
101,249.25,254.546,191.084,0.76,19
102,288.78,185.413,85.225,0.46,11
103,121.05,38.839,170.686,0.21,0
104,263.41,10.175,12.441,0.26,7
105,71.14,23.017,26.117,0.45,23
106,154.55,86.907,151.069,0.41,7
107,158.56,44.638,45.315,0.53,1
108,55.76,173.773,190.613,0.37,6
109,131.51,13.285,164.828,0.24,12
110,263.47,326.452,114.905,0.66,12
111,278.77,335.805,131.504,0.17,21
112,38.34,341.814,152.17,0.59,14
113,199.98,244.452,120.658,0.64,6
114,258.56,5.919,141.784,0.15,12
115,274.74,242.718,49.365,0.18,21
116,134.59,215.281,121.784,0.77,13
117,136.63,250.45,125.973,0.16,23
118,53.74,292.446,25.299,0.39,19
119,195.96,332.635,50.495,0.33,16
120,220.09,358.51,127.579,0.4,10
121,213.96,13.025,130.453,0.83,9
122,30.05,6.61,20.585,0.47,19
123,213.99,366.587,174.919,0.7,0
124,266.74,48.529,71.149,0.16,23
125,57.84,202.009,20.851,0.22,10
126,182.98,81.207,68.963,0.74,18
127,205.13,394.12,147.424,0.38,20
128,95.46,309.924,126.896,0.7,17
129,276.89,15.953,103.828,0.65,0
130,173.26,102.367,156.417,0.75,4
131,279.78,130.137,77.849,0.24,0
132,134.25,305.362,130.202,0.41,22
133,218.16,163.694,151.473,0.33,14
134,81.06,72.29,137.524,0.6,7
135,279.02,70.358,181.554,0.16,2
136,288.14,185.714,85.986,0.48,22
137,46.31,143.672,98.016,0.53,11
138,237.83,38.642,159.409,0.2,3
139,107.78,367.622,122.272,0.42,2
140,26.51,313.015,155.398,0.5,19
141,283.1,248.703,117.758,0.53,1
142,295.6,16.73,37.826,0.7,8
143,116.75,274.775,139.533,0.64,6
144,202.43,341.928,21.739,0.53,17
145,57.49,156.186,194.787,0.68,12
146,104.32,153.943,21.668,0.72,19
147,86.05,205.926,10.072,0.15,11
148,246.85,357.874,195.569,0.51,23
149,219.12,352.344,6.242,0.55,9
150,152.4,146.714,78.716,0.5,20
151,229.22,22.146,178.602,0.57,15
152,18.69,328.292,88.298,0.28,5
153,240.31,275.293,162.892,0.4,6
154,291.91,160.597,111.984,0.5,13
155,107.02,67.153,174.606,0.88,15
156,71.8,271.897,173.06,0.36,20
157,253.32,374.376,18.845,0.38,21
158,93.91,54.995,152.845,0.49,7
159,97.71,127.618,71.314,0.6,17
160,33.17,396.336,165.624,0.62,7
161,92.22,364.242,15.096,0.37,10
162,150.89,164.206,186.531,0.35,22
163,227.8,6.707,169.033,0.82,15
164,267.23,66.441,161.733,0.3,5
165,216.55,339.584,17.12,0.72,7
166,259.04,257.773,164.222,0.14,15
167,73.95,61.328,35.982,0.51,10
168,213.01,205.657,112.41,0.37,22
169,218.34,398.451,54.444,0.14,3
170,58.8,190.034,65.473,0.6,12
171,215.42,396.905,110.585,0.74,14
172,237.28,289.492,196.919,0.31,12
173,298.91,29.646,113.48,0.89,9
174,151.33,315.752,161.81,0.55,5
175,58.55,395.158,85.226,0.56,6
176,176.07,354.877,171.453,0.86,10
177,240.24,55.231,120.777,0.29,3
178,5.64,192.867,66.146,0.12,23
179,258.15,358.322,25.136,0.69,23
180,242.39,81.689,134.689,0.55,11
181,122.57,371.19,181.082,0.62,22
182,38.97,255.8,185.392,0.46,18
183,186.7,187.908,181.409,0.49,23
184,8.54,47.502,113.831,0.39,13
185,157.76,125.468,30.719,0.7,7
186,199.5,181.97,29.324,0.8,2
187,217.5,334.906,42.753,0.66,6
188,201.56,323.221,72.425,0.41,3
189,119.44,277.625,14.73,0.86,1
190,4.6,315.036,167.662,0.85,20
191,284.64,318.881,59.304,0.27,4
192,215.29,249.607,55.894,0.55,1
193,154.68,115.147,191.792,0.34,16
194,299.6,286.524,94.027,0.13,22
195,273.5,185.411,110.517,0.66,5
196,230.64,202.822,193.826,0.19,5
197,215.42,245.578,123.946,0.79,21
198,17.65,205.997,68.98,0.13,20
199,231.37,253.69,183.044,0.23,12
200,12.12,65.478,154.115,0.59,17
201,47.07,339.491,104.628,0.57,1
202,41.85,306.116,186.346,0.2,22
203,149.71,289.34,146.898,0.54,19
204,1.52,144.792,103.08,0.71,4
205,241.92,50.081,142.711,0.57,23
206,295.21,280.663,79.843,0.71,20
207,215.79,59.714,139.994,0.52,1
208,120.25,397.862,175.699,0.6,3
209,247.19,10.583,64.878,0.2,16
210,34.11,128.718,181.124,0.19,2
211,201.41,121.697,172.651,0.14,23
212,53.31,31.732,46.734,0.66,13
213,195.45,44.472,96.352,0.13,23
214,204.32,396.586,111,0.83,18
215,204.11,248.449,73.112,0.14,23
216,216.1,287.145,191.063,0.74,1
217,267.26,156.239,78.488,0.17,4
218,29.52,335.384,122.352,0.44,13
219,272.99,262.577,183.771,0.22,19
220,191.19,362.643,107.197,0.67,3
221,221.78,309.601,53.245,0.56,1
222,153.82,129.378,192.138,0.27,11
223,127.31,385.838,181.44,0.88,2
224,71.74,296.892,124.665,0.2,3
225,242.87,256.585,85.48,0.87,8
226,230.38,146.728,144.534,0.81,14
227,264.91,196.189,77.538,0.35,13
228,106.09,201.965,186.26,0.31,14
229,247.25,332.847,49.962,0.39,17
230,223.89,251.481,56.699,0.77,3
231,266.62,219.082,174.045,0.86,10
232,226.03,198.194,33.972,0.7,11
233,180.8,385.452,114.999,0.11,4
234,255.75,172.46,157.026,0.64,0
235,278.82,4.811,134.649,0.52,5
236,208.63,27.707,24.463,0.49,14
237,296.37,81.876,194.978,0.27,0
238,230.72,57.306,54.499,0.56,10
239,183.86,129.686,170.847,0.73,4
240,180.13,124.118,112.415,0.14,5
241,248.77,143.176,109.031,0.29,20
242,129.6,255.325,149.751,0.71,17
243,38.33,341.779,113.752,0.47,5
244,258.51,70.974,95.263,0.74,7
245,24.72,12.117,53.457,0.5,10
246,93.61,42.674,87.26,0.14,11
247,171,147.997,173.083,0.63,5
248,46.87,289.504,187.251,0.69,9
249,46.1,260.688,9.096,0.76,22
250,272.25,110.816,88.013,0.5,0
251,27.44,262.872,59.044,0.87,18
252,138.6,132.28,87.041,0.1,4
253,252.13,219.559,75.811,0.32,21
254,21.97,42.866,84.942,0.31,23
255,101.27,284.848,101.922,0.47,20
256,213.19,261.097,60.339,0.78,16
257,247.27,374.937,192.767,0.15,10
258,240.3,106.073,187.211,0.85,21
259,171.35,129.217,98.114,0.5,14
260,171.08,194.334,99.739,0.89,10
261,8.43,83.832,135.412,0.82,7
262,239.98,78.329,178.446,0.39,13
263,31.56,245.659,50.674,0.37,14
264,111.64,223.986,153.5,0.66,10
265,11.08,98.539,89.138,0.23,23
266,131.41,399.753,20.824,0.33,23
267,79.25,373.325,62.808,0.21,7
268,141.77,235.23,18.573,0.3,5
269,150.77,170.465,55.29,0.7,9
270,21.45,19.768,99.501,0.69,7
271,140.25,326.99,14.559,0.18,22
272,121.77,186.934,178.138,0.58,5
273,70.2,38.502,32.109,0.8,9
274,298.94,331.042,79.657,0.76,15
275,115.68,80.702,126.543,0.19,22
276,86.75,390.764,72.187,0.86,23
277,168.08,270.54,9.022,0.83,14
278,124.77,188.71,69.044,0.15,7
279,115.42,30.09,95.14,0.22,7
280,96.36,285.998,128.575,0.75,12
281,18.81,90.811,71.598,0.84,2
282,69.23,14.375,179.66,0.74,21
283,230.47,143.982,167.116,0.77,1
284,31.27,87.646,148.392,0.71,5
285,223.49,117.331,115.831,0.21,6
286,109.3,270.771,113.399,0.79,23
287,43.31,12.748,164.021,0.34,7
288,198.51,35.424,55.816,0.88,2
289,249.95,288.312,64.811,0.58,8
290,265.89,259.283,52.692,0.62,14
291,245.49,56.344,12.548,0.84,12
292,270.35,371.395,24.712,0.38,15
293,191.87,268.72,133.158,0.73,5
294,7.32,67.292,113.265,0.82,10
295,184.9,323.995,44.835,0.59,22
296,44.34,134.333,88.761,0.57,2
297,227.11,245.997,69.851,0.66,16
298,73.75,237.217,35.901,0.12,20
299,74.96,120.811,49.548,0.12,7
300,94.04,217.783,167.855,0.34,22
301,114.31,390.149,82.618,0.51,14
302,4.88,392.508,163.577,0.46,4
303,280.91,120.321,88.72,0.63,17
304,193.7,391.925,129.32,0.23,20
305,126.19,22.045,36.726,0.2,8
306,118.94,313.256,148.183,0.33,2
307,53.53,57.371,167.186,0.23,0
308,9.05,96.56,184.591,0.3,11
309,30.32,219.443,124.477,0.5,16
310,13.49,184.762,96.753,0.43,12
311,13.48,92.601,161.702,0.17,14
312,96.64,109.37,196.903,0.77,8
313,290.32,391.108,152.317,0.67,10
314,173.16,314.509,30.27,0.38,10
315,221.97,35.905,150.3,0.37,18
316,135.08,94.467,60.728,0.89,17
317,143.61,133.797,136.313,0.55,0
318,80.02,267.798,176.834,0.24,19
319,262.81,249.502,63.942,0.49,7
320,63.33,368.821,168.511,0.9,6
321,61.73,129.15,6.327,0.81,10
322,16.22,243.722,175.223,0.19,8
323,99.61,358.588,111.088,0.88,16
324,9.2,23.736,90.241,0.26,7
325,145.04,246.866,42.816,0.41,4
326,146.69,126.768,11.341,0.55,18
327,96.19,108.628,159.627,0.59,3
328,167.72,292.923,131,0.42,7
329,186.28,79.179,113.97,0.4,12
330,53.57,254.207,29.483,0.88,18
331,186.18,315.352,28.236,0.46,14
332,40.03,68.116,67.298,0.79,4
333,218,320.375,121.042,0.18,10
334,89.55,159.196,36.97,0.5,16
335,299.86,367.043,77.827,0.6,0
336,204.57,268.213,40.507,0.36,4
337,148.87,267.32,94.692,0.77,14
338,209.16,284.432,13.564,0.53,18
339,191.62,326.981,167.577,0.28,23
340,151.06,326.549,133.324,0.42,12
341,67.36,25.016,22.595,0.81,7
342,298.74,274.916,111.867,0.31,4
343,276.32,219.014,54.166,0.19,18
344,148.88,371.994,53.796,0.28,14
345,212.05,187.001,189.019,0.76,22
346,61.54,260.724,68.654,0.32,9
347,132.78,114.828,145.338,0.86,8
348,119.37,240.485,89.252,0.57,5
349,255.18,113.814,73.095,0.47,20
350,111.8,241.902,60.404,0.82,13
351,289.79,123.455,122.684,0.74,9
352,174.62,38.676,119.841,0.29,23
353,151.96,315.531,180.998,0.83,0
354,173.2,46.225,199.499,0.3,21
355,229.32,185.33,106.117,0.31,6
356,273.75,42.78,156.919,0.54,3
357,257.08,106.193,15.591,0.31,12
358,157.11,395.06,87.382,0.37,10
359,135.63,321.457,87.303,0.25,1
360,75.62,120.95,189.292,0.72,19
361,60.78,195.729,14.203,0.77,15
362,201.93,142.708,157.255,0.3,3
363,231.33,40.513,110.575,0.19,14
364,295.96,288.788,13.78,0.44,23
365,29.38,396.095,56.948,0.23,10
366,20.7,133.839,35.228,0.14,22
367,228.16,239.181,59.506,0.13,0
368,191.69,358.29,72.076,0.9,0
369,126.08,129.056,19.358,0.58,5
370,28.66,391.336,35.844,0.5,5
371,132.18,216.288,41.774,0.1,0
372,202.71,78.879,30.002,0.74,5
373,96.72,299.977,147.038,0.62,6
374,81.23,151.101,87.042,0.82,1
375,149.64,365.43,124.191,0.4,0
376,113,228.49,83.773,0.11,1
377,206.91,12.666,115.091,0.59,8
378,44.67,344.311,38.407,0.19,17
379,280.98,221.101,158.611,0.41,6
380,168.1,387.063,115.967,0.89,20
381,138.14,359.541,47.078,0.67,5
382,114.88,38.672,160.715,0.64,10
383,232.26,160.693,73.661,0.5,5
384,125.28,175.396,143.38,0.43,13
385,31.95,225.281,71.769,0.23,11
386,164.99,324.353,195.362,0.1,3
387,226.5,290.704,10.617,0.7,6
388,288.71,81.96,194.099,0.81,16
389,63.12,329.361,22.985,0.55,21
390,66.87,1.682,39.707,0.13,18
391,271.83,226.684,36.531,0.23,5
392,72.11,293.329,195.001,0.75,13
393,249.95,150.469,94.057,0.23,8
394,42.4,91.648,116.711,0.24,17
395,11.07,57.302,144.524,0.13,7
396,197.88,382.462,105.374,0.28,3
397,198.41,32.715,168.909,0.69,2
398,188.29,216.318,130.338,0.25,14
399,25.1,101.553,164.856,0.64,17
400,69.23,80.974,160.891,0.2,21
401,156.48,364.916,143.942,0.41,20
402,156.58,164.998,110.274,0.6,6
403,53.65,181.409,34.146,0.3,18
404,256.93,143.225,187.707,0.42,10
405,220.79,293.507,67.596,0.71,23
406,134.44,132.62,109.72,0.13,2
407,246.17,156.171,95.55,0.11,14
408,28.8,397.383,81.974,0.19,22
409,148.07,125.225,71.267,0.35,21
410,70.74,85.664,30.649,0.21,10
411,63.16,350.812,199.014,0.16,23
412,267.08,220.425,71.67,0.64,2
413,80.75,27.505,167.184,0.48,9
414,78.68,253.715,170.045,0.76,20
415,221.22,88.556,52.266,0.71,8
416,148.36,399.401,88.604,0.18,17
417,219.11,85.821,43.769,0.36,2
418,33,112.421,131.806,0.39,4
419,175.23,25.634,159.83,0.13,22
420,88.34,197.494,146.796,0.21,1
421,228.16,142.361,25.014,0.14,13
422,48.32,50.643,142.792,0.56,8
423,1.52,127.847,95.996,0.71,7
424,289.23,377.718,160.439,0.26,16
425,6.74,244.117,98.029,0.74,16
426,255.52,13.921,87.591,0.79,10
427,274.62,103.548,103.476,0.8,15
428,37.44,88.996,72.411,0.32,6
429,161.45,178.646,96.964,0.17,5
430,33.38,371.316,53.4,0.37,17
431,49.16,375.071,156.846,0.6,9
432,103.26,279.299,81.316,0.52,17
433,187.58,283.939,98.445,0.27,6
434,228.7,246.261,167.831,0.11,16
435,205.05,340.102,143.574,0.37,4
436,259.34,346.348,38.107,0.24,23
437,27.96,315.276,62.223,0.67,12
438,181.23,376.704,58.95,0.17,0
439,77.91,90.007,54.556,0.19,9
440,213.5,347.591,83.284,0.16,4
441,36.38,363.349,153.827,0.21,21
442,99.03,170.998,67.851,0.48,2
443,192.68,281.279,89.098,0.88,0
444,174.58,381.816,66.561,0.52,18
445,194.04,234.349,195.527,0.13,7
446,110.07,55.399,41.119,0.67,19
447,225.92,387.498,42.319,0.22,13
448,247.46,225.327,23.189,0.85,6
449,221.22,85.385,37.618,0.4,19
450,263.64,27.988,16.806,0.36,5
451,42.96,165.942,30.113,0.84,18
452,272.2,236.919,143.201,0.4,4
453,137.44,379.639,30.453,0.81,22
454,74.81,278.429,20.054,0.85,17
455,228.55,169.079,13.348,0.43,19
456,202.43,319.723,140.803,0.1,14
457,172.95,33.965,61.336,0.39,22
458,248.15,150.739,165.416,0.55,19
459,137.27,249.398,36.733,0.5,13
460,112.15,183.734,12.622,0.13,4
461,222.69,186.982,75.106,0.57,11
462,263.51,82.005,123.276,0.32,9
463,4.87,134.809,168.193,0.47,21
464,290.35,246.811,179.913,0.54,16
465,57.6,186.389,50.607,0.24,17
466,23.78,235.992,147.39,0.37,15
467,91.48,152.037,5.666,0.34,11
468,260.24,18.137,37.23,0.67,13
469,3.44,153.351,77.805,0.85,18
470,134.22,363.65,194.266,0.88,19
471,218.52,256.511,11.827,0.22,2
472,13.85,340.641,147.51,0.17,9
473,113.52,39.066,106.723,0.39,7
474,275.1,213.918,8.196,0.28,14
475,207.15,40.881,52.466,0.39,14
476,6.76,240.379,71.186,0.75,23
477,281.39,153.415,25.655,0.18,12
478,113.61,118.388,118.14,0.73,2
479,166.25,351.367,145.9,0.59,13
480,102.87,236.951,167.828,0.55,12
481,91.86,337.181,97.863,0.8,15
482,269.77,382.358,156.543,0.76,3
483,191.03,161.966,149.018,0.1,6
484,133.63,339.34,57.548,0.83,6
485,32.55,289.031,51.644,0.21,13
486,70.14,329.515,48.16,0.5,6
487,194.54,122.995,157.049,0.37,22
488,209.79,70.548,183.31,0.55,10
489,285.85,48.05,98.026,0.49,5
490,255.57,154.78,55.914,0.58,4
491,141.25,106.681,129.24,0.61,2
492,139.17,329.732,84.106,0.17,22
493,122.26,326.796,69.836,0.46,19
494,109.18,383.874,190.837,0.36,23
495,255.82,149.003,161.578,0.6,17
496,50.45,43.482,28.648,0.46,23
497,28.72,309.529,142.025,0.11,11
498,196.64,102.087,54.909,0.76,11
499,91.78,357.645,131.99,0.42,8
500,82.79,119.737,64.239,0.35,6
501,110.59,383.971,158.539,0.54,20
502,153.56,326.874,67.957,0.45,3
503,273.42,281.401,185.972,0.63,0
504,222.06,76.103,40.601,0.6,9
505,93.62,267.285,96.471,0.15,20
506,295.8,286.119,54.198,0.24,5
507,159.23,73.251,51.306,0.9,14
508,247.89,396.639,95.773,0.49,11
509,130.13,326.919,51.293,0.72,6
510,107.99,221.362,68.205,0.42,6
511,19.44,157.109,14.228,0.55,21
512,180.24,29.563,25.035,0.63,21
513,280.43,169.007,70.068,0.12,16
514,110.25,347.899,174.555,0.24,17
515,63.88,106.099,112.957,0.17,20
516,42.72,50.058,24.149,0.27,17
517,134.35,308.676,18.323,0.7,8
518,202.4,397.251,148.987,0.25,21
519,198.19,294.785,135.16,0.5,19
520,281.82,314.227,41.47,0.83,0
521,165.85,199.443,53.704,0.6,0
522,276.58,337.495,149.031,0.53,4
523,130.38,139.057,31.09,0.88,5
524,168.61,264.2,167.523,0.12,14
525,151.66,15.94,186.305,0.29,8
526,79.91,162.332,197.231,0.69,1
527,200.21,63.979,153.234,0.43,9
528,235.81,26.438,7.107,0.33,11
529,293.25,129.605,40.992,0.55,6
530,242.08,291.488,93.216,0.39,15
531,178.97,209.079,125.411,0.34,2
532,66.7,75.354,81.055,0.54,9
533,175.49,209.077,169.664,0.28,18
534,188.64,309.649,182.959,0.45,9
535,292.32,203.9,141.977,0.5,7
536,187.92,101.1,127.183,0.28,12
537,18.02,351.416,83.517,0.65,15
538,98.2,39.703,129.96,0.21,4
539,204.11,46.652,115.404,0.69,7
540,243.4,164.607,140.894,0.23,22
541,50.71,74.262,30.058,0.78,12
542,233.91,75.63,165.442,0.2,2
543,234.28,262.441,31.903,0.22,7
544,144.04,391.747,74.76,0.21,12
545,207.39,161.036,30.381,0.29,20
546,94.41,71.894,158.479,0.26,4
547,293.89,81.303,170.095,0.88,14
548,151.48,325.994,39.499,0.37,5
549,284.75,183.102,153.438,0.59,20
550,299.91,309.736,91.083,0.21,8
551,297.24,119.777,42.271,0.15,7
552,189.28,170.487,75.423,0.47,18
553,175.41,335.988,109.958,0.18,5
554,295.9,227.512,57.371,0.88,14
555,63.09,269.228,26.928,0.44,21
556,102.48,295.139,80.768,0.7,0
557,103.6,331.499,171.245,0.27,1
558,119.32,223.007,115.797,0.23,21
559,252.07,352.703,156.572,0.2,14
560,154.32,172.757,70.298,0.74,15
561,263.84,215.411,174.068,0.71,20
562,274.14,148.198,58.344,0.26,14
563,298.74,143.654,92.242,0.14,17
564,35.9,209.639,198.548,0.86,9
565,173.26,68.315,22.955,0.54,5
566,123.81,140.434,107.441,0.32,7
567,41.98,327.851,61.19,0.4,18
568,76.7,64.951,64.25,0.76,16
569,25.98,350.119,188.058,0.57,4
570,265.63,376.234,176.084,0.39,15
571,87.37,173.178,60.885,0.41,3
572,110.01,100.951,16.962,0.31,15
573,8.82,258.399,25.191,0.63,6
574,166.16,387.927,48.754,0.53,8
575,32.15,313.327,30.771,0.56,12
576,38.7,236.856,108.182,0.77,2
577,134.64,346.777,19.5,0.64,17
578,113.12,87.119,68.801,0.37,11
579,211.17,117.125,167.259,0.65,16
580,53.58,245.147,93.814,0.12,9
581,153.01,359.128,163.091,0.74,20
582,206.04,160.99,55.54,0.61,8
583,25.48,399.945,44.092,0.85,18
584,204.65,53.639,17.786,0.13,6
585,102.52,394.918,161.327,0.1,22
586,18.01,7.567,63.868,0.16,18
587,198.08,287.839,47.946,0.71,16
588,23.63,67.616,135.411,0.22,1
589,67.07,307.575,78.495,0.81,22
590,182.17,185.788,32.54,0.62,12
591,297.07,6.953,17.665,0.22,4
592,191.89,8.868,195.745,0.36,3
593,144.14,347.615,119.15,0.71,2
594,138.89,252.622,184.496,0.58,2
595,100.58,302.06,117.65,0.17,2
596,294.35,236.231,123.483,0.18,14
597,2.13,276.901,24.942,0.46,15
598,262.71,316.086,172.852,0.73,10
599,160.63,246.08,83.691,0.65,16
600,71.77,144.528,43.361,0.26,10
601,77.47,122.413,5.613,0.21,13
602,226.25,3.755,15.236,0.42,0
603,211.05,44.476,188.718,0.25,21
604,195.57,358.151,84.366,0.81,6
605,96.38,381.322,135.659,0.86,0
606,207.68,289.709,73.809,0.29,10
607,91.09,256.519,25.024,0.86,9
608,2.83,170.082,45.04,0.26,0
609,16.76,38.409,23.211,0.16,6
610,135.63,182.064,60.481,0.42,17
611,228.04,72.544,66.774,0.14,12
612,285.76,336.019,179.917,0.67,4
613,167.04,203.795,198.016,0.51,11
614,31.28,181.429,47.027,0.11,5
615,234.65,114.276,114.338,0.23,21
616,229.25,179.106,189.862,0.34,4
617,233.01,148.865,147.379,0.15,10
618,272.79,326.039,46.821,0.49,18
619,119.67,380.105,151.801,0.39,14
620,205.87,171.437,58.031,0.63,14
621,159.87,209.657,173.987,0.19,13
622,167.99,186.831,19.38,0.62,14
623,38.73,355.839,153.052,0.84,3
624,82.97,291.685,145.007,0.83,2
625,17.29,79.236,20.47,0.17,19
626,19,220.943,23.515,0.19,5
627,259.42,336.073,154.848,0.41,0
628,35.6,287.829,177.377,0.32,20
629,28.56,163.063,173.077,0.32,6
630,203.79,189.563,83.009,0.65,9
631,110.13,126.534,43.308,0.74,13
632,109.84,306.29,87.519,0.23,23
633,160.6,132.974,126.033,0.7,0
634,129.72,296.003,154.233,0.58,18
635,6.91,242.425,122.883,0.65,23
636,188.77,8.926,169.334,0.84,12
637,86.59,108.779,32.767,0.84,1
638,60.59,253.202,126.295,0.87,4
639,283.83,376.198,116.285,0.2,14
640,62.48,342.836,189.09,0.26,10
641,270.59,35.379,62.108,0.69,14
642,201.64,169.279,53.153,0.8,2
643,130,261.542,85.4,0.48,15
644,209.18,238.76,96.606,0.55,16
645,29.28,360.082,81.853,0.49,9
646,142.63,53.866,11.516,0.64,7
647,37.05,136.146,171.548,0.82,17
648,116.73,332.419,136.33,0.4,0
649,249.6,107.921,179.76,0.4,22
650,183.57,30.462,164.706,0.28,3
651,196.75,125.658,180.108,0.3,18
652,146.22,247.189,121.844,0.58,20
653,106.92,293.143,153.606,0.73,17
654,21.86,76.002,13.858,0.74,16
655,267.61,245.534,172.63,0.22,23
656,10.05,344.692,67.143,0.69,6
657,228.62,297.748,162.844,0.75,2
658,299.83,331.94,164.721,0.68,2
659,14.97,285.509,114.517,0.29,12
660,3.19,247.387,40.961,0.25,7
661,166.51,373.257,198.134,0.25,6
662,263.18,246.008,112.836,0.62,21
663,184.14,292.212,163.326,0.69,3
664,261.84,301.019,109.963,0.12,12
665,105.14,108.518,188.864,0.82,0
666,74.23,29.516,9.169,0.74,2
667,246.84,335.844,46.409,0.31,22
668,95.03,224.051,192.457,0.5,7
669,299.71,291.635,102.206,0.58,3
670,114.34,101.34,9.076,0.53,3
671,115.34,124.189,151.6,0.82,5
672,184,179.579,139.628,0.64,18
673,238.08,85.855,88.263,0.31,9
674,129.87,121.973,68.968,0.56,9
675,181.11,307.433,172.462,0.26,5
676,39.97,68.451,185.028,0.42,12
677,56.24,90.527,14.966,0.3,12
678,95.28,296.974,68.931,0.56,13
679,127.24,42.541,44.244,0.68,9
680,298.84,308.999,125.177,0.47,18
681,218.92,340.578,189.171,0.15,2
682,58.56,75.796,13.296,0.36,7
683,258.85,340.907,97.672,0.38,2
684,5.78,331.438,172.406,0.45,14
685,290.15,184.351,128.913,0.22,15
686,1.89,101.977,83.227,0.18,21
687,241.71,390.315,193.956,0.66,16
688,245.41,280.268,27.527,0.26,23
689,159.07,159.704,41.024,0.33,18
690,290.46,111.244,69.586,0.77,5
691,116.25,180.658,102.582,0.7,23
692,144.82,4.245,62.726,0.69,18
693,240.76,397.094,103.365,0.84,15
694,66.65,94.311,130.363,0.26,14
695,27.42,107.988,110.532,0.49,8
