tower_id,signal_strength_avg,network_downtime_minutes,network_congestion_level,avg_signal_strength
27930,-113.1237452,90,Medium,-69.78871645
9316,-93.7480172,93,Low,-71.58690437
36780,-56.99217492,106,Medium,-77.15057054
27265,-68.13427428,20,Low,-84.97774493
10513,-82.78052853,42,High,-84.52121349
40634,-99.03478707,40,High,-88.68458296
34275,-110.7138923,68,High,-54.33720061
13015,-115.2021615,142,Medium,-86.52929335
27152,-52.18236486,106,High,-68.04607041
44915,-106.3000714,25,High,-54.5066665
14671,-115.4984748,96,Medium,-86.95168755
34631,-96.68848662,73,High,-77.91048209
25112,-71.56022356,70,High,-74.73869517
14550,-54.52663833,119,Low,-65.38033056
31050,-60.19479122,68,Low,-62.7834432
32396,-85.34063883,122,Low,-83.17813603
48403,-113.9676957,61,Medium,-63.86505902
10305,-116.4171133,43,Medium,-53.79682241
41762,-118.0551488,147,Low,-68.81472108
16052,-72.65670286,115,Low,-51.78052166
38495,-118.0546842,140,High,-71.8103744
7475,-57.92422737,100,Low,-65.64447459
2936,-107.9705381,109,High,-53.02153543
6124,-56.35320512,110,High,-55.57170547
47212,-114.7280812,101,Low,-70.1279501
42357,-104.1990944,134,Low,-60.42334694
43922,-55.80489405,25,Low,-68.99467107
17724,-94.48926528,10,Medium,-72.4529757
25839,-67.29496358,33,Medium,-56.84385098
35202,-87.07453548,19,High,-61.36146309
40520,-104.1397971,86,Low,-64.33432144
14367,-114.2849959,7,Low,-80.05113396
43392,-60.66577341,87,Low,-72.96190538
8674,-56.86962919,18,Medium,-79.2348703
32600,-81.5988245,96,Low,-82.58304471
32330,-57.61163413,121,Medium,-80.51433518
34407,-94.82174456,66,Medium,-72.9395759
28832,-82.9990062,117,High,-67.00711455
24920,-89.71473184,113,High,-70.70849946
28151,-86.47839062,48,Low,-73.96888386
47984,-102.4595445,37,Low,-77.79505165
32482,-79.02058257,1,Low,-51.26154731
37318,-84.68749967,61,Low,-66.24405661
599,-110.1926911,122,Low,-57.99664719
46542,-62.71171208,45,Medium,-72.34090614
36812,-102.9076511,88,High,-74.83081153
30079,-97.12650371,88,Low,-89.93918876
11765,-77.52941728,21,Medium,-55.96169911
42341,-61.48199414,121,High,-79.01820799
10788,-55.51410447,40,Low,-83.56631047
35947,-83.01099621,30,Medium,-57.54581956
15508,-106.3327337,47,Low,-63.33572791
31652,-89.43418705,30,Low,-58.31992629
36853,-103.3777347,55,Low,-55.57572512
22344,-63.45624786,36,High,-63.92252958
7592,-55.70175438,66,High,-66.23882284
29435,-52.80882839,44,Low,-55.80190094
28258,-79.56942754,146,Medium,-65.0634057
3701,-61.2440601,18,Medium,-65.43266934
17474,-67.63765579,27,Medium,-65.48169756
46600,-79.40150351,49,Low,-81.21807159
26527,-61.14176671,75,Low,-69.18939158
7476,-87.4119625,120,High,-84.93487469
20507,-117.2594465,32,Medium,-64.82320836
47325,-105.3283536,24,Low,-88.61189101
43322,-98.77216187,60,Low,-86.30464159
34315,-66.87166736,92,Low,-69.44103316
5560,-68.1662548,111,High,-79.59801964
40586,-86.27726572,14,High,-61.36950813
24549,-85.03908404,115,High,-76.54143402
22214,-73.53292978,29,Medium,-61.64765977
24590,-82.71167123,84,High,-81.268041
27099,-110.5410008,15,Low,-52.23187318
40130,-51.06871846,72,Medium,-57.42714922
20957,-93.08121837,38,Low,-83.44005639
41706,-54.06044616,100,Medium,-64.18128774
25593,-113.0980262,31,Low,-75.01181905
40837,-115.392654,73,High,-58.08399701
17979,-82.55837647,52,Medium,-59.00862604
23965,-113.5727075,143,Low,-60.53448288
40028,-72.65254871,19,High,-58.43206716
3340,-104.3700537,42,Medium,-88.19013626
30059,-54.3794495,1,Medium,-61.52690244
40297,-72.14244903,47,Low,-59.18044231
38196,-94.49631012,38,High,-53.04274155
32105,-50.3374752,115,Medium,-66.5858799
39595,-83.82653676,58,High,-89.14493936
33153,-94.16682747,6,High,-81.50981198
40453,-91.42129248,44,Low,-62.06004792
36586,-95.90006473,140,Medium,-63.96755842
20785,-53.43637648,7,Low,-60.79482641
33166,-82.04248717,92,Low,-55.38518072
30,-110.357413,6,Low,-75.54524555
15952,-63.71804606,140,High,-75.58126433
30930,-67.2230361,98,Low,-50.94217035
31028,-80.25172661,143,High,-89.13655203
21521,-84.32023071,92,High,-51.78858312
40358,-65.02838902,95,Medium,-88.0775274
29232,-63.26881515,131,Low,-86.37034925
42508,-71.64871254,51,Low,-67.53897739
46995,-116.4162157,113,Low,-71.23419214
20608,-106.9859106,119,Medium,-51.81426345
513,-85.68210044,19,Low,-71.40652938
3194,-86.04294393,10,Low,-85.55524107
18752,-101.9752249,139,High,-57.46516776
38117,-65.75577905,88,Medium,-89.98228835
30364,-99.30524771,17,High,-66.27737441
1495,-63.09224265,48,Medium,-58.9234659
39652,-58.01721888,26,High,-52.34192475
18174,-85.16963586,0,Low,-88.47771938
3648,-88.09165364,70,Low,-56.37414317
9701,-96.99547112,84,Medium,-84.82435746
32861,-97.16183896,16,High,-62.06791289
4764,-75.21681881,134,Medium,-74.36953396
9026,-77.64050874,55,Medium,-52.48278027
40888,-59.08314972,74,Medium,-83.176942
8563,-101.1369882,51,Medium,-71.33046067
12970,-109.7484551,89,High,-83.24469097
18776,-86.10239662,145,Medium,-82.32839884
35158,-59.33388609,18,Low,-56.66142089
45367,-55.32906776,94,Low,-80.05708328
44533,-52.57482003,137,Low,-81.39644002
7882,-108.7534624,37,Medium,-65.68750861
31378,-115.5306176,77,Medium,-65.23727829
12548,-72.99090008,40,Medium,-69.82359623
291,-84.27594978,130,Low,-73.69784378
36217,-96.65633879,19,High,-63.9175883
45639,-91.73437559,31,High,-57.67861673
49227,-78.74885639,132,High,-75.49756202
11007,-82.76941201,72,Low,-58.86019854
27398,-79.11697308,123,Low,-63.3562194
29435,-90.23262316,121,High,-64.26951382
21345,-102.5352119,54,Low,-66.23740083
19622,-63.97203189,140,High,-51.63142196
41475,-51.76963879,106,High,-81.88602265
14476,-110.2989296,114,Low,-71.24018676
18441,-105.4500009,26,Medium,-71.33657733
25574,-115.9732213,103,Low,-59.22585834
20265,-76.50789032,25,Low,-81.70690739
1857,-75.47071104,22,Low,-79.95213311
19989,-118.6751997,66,Low,-63.36687564
11407,-89.6682288,5,High,-81.23514362
43217,-74.13525678,27,Medium,-60.79791013
19859,-66.23633004,66,Medium,-85.15462632
45661,-96.34239219,133,High,-72.37450389
33582,-58.27529505,39,High,-55.286276
14807,-110.3572949,83,Medium,-80.80046246
37820,-102.008682,55,Low,-58.31291676
45690,-119.2012846,82,High,-72.92340063
37731,-75.83294776,1,Medium,-66.06320197
24094,-115.7742713,146,High,-56.76516649
34932,-98.25292115,80,Low,-63.58164423
22794,-92.81552733,120,High,-73.33408448
19948,-56.92092134,72,High,-86.16275112
43298,-119.6561478,143,High,-60.77347463
49917,-86.80648369,2,Medium,-76.38554825
24313,-106.0467411,79,Medium,-63.65929885
29339,-92.87219643,86,Low,-51.58240682
1293,-110.1141619,22,Medium,-68.16900751
11912,-96.12585436,62,High,-76.1478336
14065,-104.7049537,149,Low,-75.2989202
2708,-116.531992,56,High,-59.80560967
1193,-108.2822165,98,Medium,-68.13334835
34001,-79.60922304,6,Low,-87.44628859
38981,-68.91068445,97,Low,-82.41082172
49174,-55.49671221,117,Medium,-83.89824321
20197,-90.00246209,52,Medium,-57.55065866
6038,-98.61425459,0,High,-81.44187326
12940,-51.80824845,67,Low,-83.16216696
31716,-50.46109348,120,Medium,-53.2834639
7081,-118.6420996,69,High,-64.79759656
29616,-62.79021393,69,High,-72.80858222
23447,-50.28361716,55,Low,-59.53317269
12676,-61.62949484,82,Medium,-55.2514592
41811,-67.64761376,30,Medium,-62.91591701
17181,-91.69164328,1,Low,-71.7361188
34589,-98.38275639,0,Medium,-71.33854751
45606,-85.40806165,119,High,-51.40966676
22080,-118.6624155,141,High,-89.87390248
26402,-81.94586929,118,Low,-60.19188882
46263,-66.2462384,91,Low,-63.08609064
3983,-80.8275573,133,Medium,-82.58413888
27098,-55.39450827,137,Medium,-80.20819798
33952,-87.84779295,66,Low,-64.12267023
46918,-82.64488823,38,Low,-78.31273569
25132,-67.35646836,71,Low,-70.00289543
12706,-119.3794859,51,Medium,-58.21814791
25427,-63.65734069,55,Low,-73.18072786
14028,-83.67887072,19,Low,-75.5140959
44840,-70.49861841,40,Low,-68.62580074
29582,-72.56936045,68,High,-51.44997366
37930,-76.47315207,105,Medium,-78.37366407
28785,-107.6828208,24,Medium,-77.23892416
17792,-53.31314324,65,High,-84.63161938
17395,-94.52429389,69,Medium,-65.43580662
19471,-60.45987114,31,Low,-56.01622482
4056,-57.67244817,58,Medium,-60.33715623
41693,-74.63516161,126,Medium,-71.23317311
28457,-104.2167876,63,Medium,-52.16255388
841,-113.1899679,109,High,-67.13612036
41576,-106.7722895,59,Low,-76.45452214
21442,-106.2805517,49,High,-84.27354478
40623,-78.51183364,17,High,-80.59827204
26078,-53.75915198,92,Low,-54.4037616
16997,-61.90976528,23,High,-62.83305958
36500,-102.1327815,135,Medium,-69.21892827
19253,-79.10522444,88,Medium,-55.60682248
39605,-64.32194046,133,Medium,-60.44792651
8655,-91.59354923,36,Low,-87.15046153
16596,-57.86445571,80,High,-85.29472409
26942,-75.79289794,122,Low,-66.87139978
16308,-56.19539446,92,Medium,-77.21461853
34103,-50.3273239,71,High,-60.43347102
36668,-64.96841797,44,High,-70.95298906
17151,-93.11562388,96,Low,-51.40551743
22001,-106.0752886,8,High,-86.12903203
10789,-103.2878725,119,High,-78.92866697
9714,-53.88198554,67,Medium,-53.78820922
46372,-74.64951982,95,High,-81.71345298
49735,-117.2626122,5,High,-55.98307198
36515,-76.15388475,105,High,-82.22368124
44581,-106.0939157,124,Medium,-62.49499732
11343,-89.21613431,117,High,-87.59694421
15992,-55.48831434,15,Low,-70.79671697
38763,-88.87323849,97,Low,-63.18755238
36891,-80.73625151,11,High,-61.9567963
21785,-90.28105959,34,High,-83.05767897
24475,-62.18826005,46,High,-77.59456911
3845,-56.81494501,4,Medium,-69.95351297
9637,-112.3261944,49,Low,-69.76025493
24654,-57.87539037,54,Medium,-77.67051389
33635,-90.8841138,136,Medium,-89.39233199
38552,-101.6181823,105,High,-52.89713918
29439,-106.9102262,46,High,-87.01123362
19194,-78.14846208,87,High,-79.11090523
30774,-55.71622257,87,Medium,-86.91028911
10738,-61.71254532,57,Medium,-64.30639848
14308,-80.22365895,118,Low,-51.2230417
31451,-50.91015958,118,High,-70.43432813
49879,-77.18154775,100,Low,-64.17936871
15201,-68.80106422,48,Low,-56.73000914
13937,-80.61922192,13,High,-79.78713934
45252,-59.85817766,43,Medium,-62.90546181
44477,-79.62580564,122,High,-58.34379936
25787,-102.3150903,69,Low,-63.22538036
37255,-99.48445989,56,High,-71.01200927
38714,-77.60442169,61,High,-55.23066411
42830,-84.7046054,48,Low,-59.90297304
39808,-50.88586401,77,High,-74.88937129
38791,-103.25966,69,Medium,-70.08328713
13232,-74.04449999,88,Low,-66.42556014
4953,-76.83478504,147,High,-74.7486279
34612,-96.83739884,58,High,-70.81837502
33347,-113.4075122,42,Medium,-56.87656821
37893,-107.2370808,108,High,-70.25528993
17630,-118.1207322,2,High,-89.96759042
45990,-106.2736091,71,High,-59.01348956
2156,-68.65435923,52,Low,-79.91937162
4580,-51.75962072,46,High,-78.85921999
13881,-61.7448155,17,Low,-67.58298209
12620,-105.8998865,54,High,-54.93629248
20798,-84.5499007,74,Low,-68.77199471
34837,-84.59344059,123,Low,-80.03005439
11503,-51.12627581,146,Medium,-61.07886762
45777,-85.08190616,80,Medium,-52.43173566
13502,-117.1652773,35,Medium,-63.07978732
32014,-81.54615796,85,High,-80.24700159
14658,-60.19393053,25,Low,-64.04009289
5657,-74.58015315,111,Medium,-80.64202249
36844,-95.85200833,124,High,-56.16128458
30678,-76.1700495,114,Medium,-73.13596996
13076,-81.83771246,98,Low,-65.41743045
35107,-102.1012058,82,Low,-71.00678665
6799,-86.35669028,3,Low,-79.25324371
17755,-107.646144,76,Low,-69.94316117
37584,-99.24445863,43,Low,-76.1485271
39674,-70.36378022,31,Medium,-71.26918997
19676,-73.42637957,45,Low,-69.18958325
12350,-106.4537021,85,Medium,-78.58070215
2889,-115.8891436,6,High,-84.6891528
18218,-66.41876639,148,Medium,-86.0892507
12317,-82.51340817,81,Medium,-74.64035343
32761,-73.13215054,58,Low,-63.32614443
27846,-78.8587619,20,High,-50.6901171
8241,-86.50867109,30,Low,-77.9909218
11462,-104.8685032,39,Low,-83.68181172
46607,-67.65908367,84,Medium,-75.1575669
23178,-71.70604522,65,High,-57.14783605
37532,-55.44533147,10,Medium,-64.04836981
31809,-60.37605097,143,Medium,-82.95956225
46597,-69.9420113,80,High,-89.53876023
23525,-77.57623989,9,High,-80.4191576
16608,-101.7027689,78,High,-50.8916839
33678,-93.57441171,108,High,-51.27759409
46719,-59.64931666,109,Medium,-83.96571685
15106,-71.17594188,73,Medium,-70.34882352
40471,-58.39660821,91,Medium,-53.05715196
37365,-96.03377903,134,Low,-50.63570798
41201,-119.4963423,1,High,-68.330031
15975,-93.81509447,30,Medium,-83.15771137
14395,-64.8951362,60,Low,-79.55126747
42066,-71.97597996,109,Low,-80.4721716
17070,-89.44991355,113,Low,-80.25806754
9509,-110.0180488,103,Medium,-55.88218546
3980,-87.21487029,146,High,-88.80340409
21076,-79.67289583,24,Medium,-71.89564443
23044,-78.32027701,42,High,-56.60931891
27303,-106.6480998,7,Low,-84.63326926
3935,-111.1471001,71,Low,-74.72762223
4941,-119.2617992,25,Medium,-56.83354269
12439,-81.9929932,99,Low,-64.61557218
23438,-83.80890036,40,High,-61.71820149
45062,-60.28350544,85,Low,-73.25993749
44472,-94.70526471,139,Low,-73.18041541
21837,-78.50056426,2,Medium,-67.19388637
34769,-106.8807069,140,High,-80.06217521
47721,-81.59333325,17,High,-75.27724422
38657,-80.29431668,125,High,-51.70770535
2986,-73.38451626,129,High,-65.50810363
19514,-94.72342983,142,Medium,-58.99281809
36097,-82.34808326,135,High,-58.03999143
30250,-110.8490427,63,Medium,-67.37507901
37099,-108.2830602,77,Medium,-79.3068979
20225,-86.37726117,65,High,-66.82498007
29316,-53.75186807,48,Medium,-82.81229215
39729,-110.9939817,58,Medium,-68.09348301
28777,-113.1305817,22,Low,-50.58862499
7921,-68.95995137,93,High,-59.58997922
1382,-80.05296754,41,Low,-81.83430757
39836,-86.73335898,40,High,-58.09568519
6580,-67.99562749,92,Low,-63.50330792
26607,-61.24135107,23,High,-79.40107624
46161,-100.4101067,111,Low,-84.34409243
48279,-72.43530023,28,Medium,-59.53101401
33129,-62.60248033,86,Low,-74.33050831
46933,-86.24056248,47,Low,-85.38756098
39348,-113.7852281,46,Low,-56.91875976
10008,-111.7486576,83,Low,-62.72970319
33890,-111.6138766,46,High,-63.90686258
18843,-116.8982521,30,High,-82.91907937
49166,-72.95176474,77,High,-59.97948824
23924,-115.3494432,119,High,-52.33138155
1870,-94.3557825,105,High,-66.92921618
16675,-82.14747468,113,Low,-89.91972602
1142,-75.01450454,87,Low,-68.94943841
48962,-103.7100834,134,High,-76.02372464
41566,-54.33550753,145,Low,-73.51783947
23343,-83.64682299,110,Low,-54.31400145
13462,-108.0042715,27,Low,-65.7353632
12590,-85.12684702,26,Low,-65.02775643
40397,-52.72833298,62,High,-50.18121862
22525,-116.6957498,38,Medium,-60.44227433
42786,-107.9635946,95,Low,-79.8622934
16954,-73.83196793,77,Low,-63.96482736
46497,-83.42695776,85,High,-75.22174058
41117,-112.6819087,23,Low,-51.2635429
44684,-89.84063807,49,High,-74.39385269
20708,-51.84691289,29,High,-73.06266383
14174,-105.8635796,147,Low,-59.69432031
3972,-103.5229179,12,High,-53.88469434
24043,-93.49575468,55,High,-81.43375953
16341,-71.16252195,99,High,-63.76210826
10107,-71.29390967,133,Medium,-71.82449715
11413,-53.77034782,26,Medium,-69.72149671
33534,-112.183174,44,Medium,-72.834399
789,-82.71380623,46,Medium,-70.97116796
14598,-97.62561182,77,Medium,-81.88983901
9585,-103.2048151,50,Medium,-67.99563404
19668,-100.7514047,57,Low,-88.74968322
15941,-70.9177934,58,Low,-64.12634537
39264,-89.94675062,12,Medium,-60.0048569
24826,-64.8433374,75,Medium,-67.8814739
18515,-60.13036684,33,Low,-72.54146377
26706,-110.1532014,117,High,-76.38799067
27282,-96.67530641,57,Low,-61.91597465
43405,-59.97296221,18,Low,-51.74378384
27098,-79.48849778,127,High,-68.33352696
282,-66.38257997,22,Low,-84.314977
42361,-119.2468645,112,High,-76.9472216
4903,-59.69781742,19,Medium,-79.25606781
33808,-115.571427,58,High,-85.86311331
30038,-88.47755765,79,High,-55.14972816
24647,-87.21301983,110,High,-67.05919834
13627,-100.4908629,33,Medium,-72.0710743
17059,-66.73393142,19,Medium,-65.11679262
9815,-56.86624957,71,Low,-64.40934886
21712,-63.87202937,112,High,-81.91295424
2264,-57.56150048,8,Low,-59.75087848
6887,-113.5696194,135,High,-74.75221275
36966,-62.35454892,24,High,-64.73046411
15602,-99.76726526,105,Low,-64.0103654
15011,-81.78296152,8,Low,-73.76207435
27400,-64.21803284,21,Low,-88.84073789
42378,-112.0236015,79,High,-72.48252578
39294,-119.5734318,124,Low,-68.19395232
26022,-73.48695192,84,Medium,-87.10512599
37000,-105.4091902,88,Low,-52.9684879
41976,-60.32952452,5,Medium,-83.91185883
25505,-66.4012664,142,High,-54.52083636
753,-81.90324697,39,High,-68.26020433
7189,-106.178501,63,High,-70.71661631
20750,-115.516779,60,Low,-57.75518057
9221,-115.8909128,50,Low,-73.93039611
5928,-60.96262787,80,High,-81.52816305
29248,-92.14019683,97,High,-79.88481703
6625,-92.04608544,75,Low,-67.45171163
43852,-92.01811275,36,Low,-72.61461903
45250,-70.72121618,110,Medium,-61.54684992
46559,-83.47756026,139,Medium,-81.80480511
18759,-115.1077452,106,Low,-64.14539999
11646,-61.23199723,0,High,-76.80828448
10772,-104.7093731,131,High,-61.50334339
2239,-111.4514058,28,Low,-80.00583993
41261,-65.66493408,101,High,-54.58631606
18438,-88.10704013,127,Low,-64.04985054
24872,-71.10313205,127,Medium,-80.70713779
33856,-89.38035382,87,High,-63.53890612
23521,-101.7475759,45,Low,-67.97486475
3912,-81.65088043,79,Medium,-63.09470752
10413,-118.818528,141,Medium,-73.79599185
41159,-66.82228493,144,High,-64.25808789
21646,-58.73664482,143,High,-57.2617883
38574,-86.03349236,6,High,-80.28614934
31405,-60.25897579,18,Low,-75.15199069
49505,-65.64473384,84,High,-87.18616505
33043,-52.32705144,109,Medium,-89.36584649
27669,-79.62339934,89,Medium,-74.22128118
14594,-87.99167413,67,Medium,-72.16108949
34971,-58.59341873,131,High,-87.19760192
36817,-76.73294881,79,High,-71.74559799
43914,-57.20035735,83,Low,-55.03608464
41601,-65.21480532,85,Low,-55.38552987
45478,-55.60154825,34,Low,-66.97636643
44294,-54.87849935,73,Low,-65.84250482
6244,-77.87503417,139,High,-79.37097809
45271,-60.32283161,133,Medium,-69.26643406
12656,-102.3674073,145,Low,-66.32899267
29274,-97.36377052,139,High,-68.33366349
30700,-87.74568931,144,Medium,-79.32269513
16359,-57.13738154,27,Medium,-87.57593651
17114,-95.94127779,65,Low,-65.9386315
1114,-57.03733022,46,Medium,-80.61440767
45350,-105.2206072,145,High,-75.30826334
49308,-118.466033,20,High,-71.01036968
28427,-97.39187758,97,Low,-78.09370521
25828,-66.48994327,29,Medium,-77.54707442
35306,-50.11835348,65,Low,-50.43923051
6872,-57.26644525,130,Low,-55.89480396
31939,-85.57354715,39,High,-84.60886151
48883,-61.82129945,56,Low,-82.74959247
9208,-65.7919858,135,High,-62.80062262
12261,-114.4979767,103,High,-65.85513762
16059,-100.1674729,37,Low,-80.32433309
17159,-94.43435393,97,Low,-77.20042702
19450,-59.06457777,112,High,-81.15754294
5792,-79.07843207,129,High,-68.91591359
32350,-102.1825382,110,Low,-87.39749817
12697,-96.87233423,149,High,-72.71269034
28335,-74.61853447,42,Low,-55.48268222
14817,-59.51444498,33,High,-68.25616692
9457,-65.2061712,91,Medium,-63.06429117
34840,-118.9931592,77,High,-76.29421352
49944,-95.97763789,88,Medium,-54.70650176
25625,-83.80302643,146,Low,-82.70280539
24691,-94.75718485,54,High,-72.11901201
10073,-53.21693725,97,Medium,-78.12842581
44836,-112.2698284,38,High,-59.18085003
24039,-111.9875581,121,Low,-65.59373987
23683,-53.35299914,142,Low,-73.01593041
48001,-119.1864458,4,High,-78.85001597
45051,-71.07369714,134,Medium,-85.11033858
31705,-51.82815749,3,Medium,-55.7286186
37696,-79.75860712,14,High,-53.9708121
37012,-103.2913529,15,Low,-59.33046778
6317,-56.6777096,76,Low,-76.48199118
38483,-50.79956753,119,Medium,-84.46388128
3077,-52.731522,120,High,-85.46267304
33023,-52.43983671,65,Low,-61.27277971
13173,-76.13089343,17,Low,-69.63978943
25674,-62.13582797,54,Low,-82.70114197
10599,-74.87456697,107,Medium,-71.33194813
9950,-90.67350718,1,Low,-64.68503775
32329,-69.46385566,99,Medium,-71.41713339
25715,-53.01432882,31,High,-73.27163638
25361,-64.43943506,122,High,-75.89381203
21321,-68.61874646,24,High,-88.11999382
35057,-109.5980279,110,Low,-85.78935884
27192,-119.2387675,48,Low,-82.03819207
9932,-59.16732584,137,Medium,-69.32280171
15266,-93.78420964,78,Medium,-68.58768582
26500,-91.02358301,58,Low,-81.62406522
28089,-112.5603313,35,Low,-61.32080245
33320,-106.1928373,1,Low,-70.81633397
27726,-79.33902167,39,High,-53.91837538
16579,-50.50726574,2,Low,-86.77427227
19328,-82.63401519,97,Medium,-57.71598709
41637,-80.59450378,9,High,-60.02174571
33966,-91.59371841,70,High,-65.56500175
28189,-119.6356697,116,High,-55.31910144
8111,-61.65970377,40,Low,-76.373838
45787,-91.97480242,137,High,-54.95499189
47172,-100.9450465,103,High,-52.85468342
11015,-99.65902635,44,Low,-66.00592551
30697,-97.8129771,63,Low,-77.57290606
34272,-85.85352956,105,Medium,-81.22654656
19311,-54.48015478,140,Low,-66.75925043
5371,-79.07269442,93,High,-59.35701183
37945,-61.99601649,134,High,-71.89288477
14690,-81.05462019,144,High,-84.22599297
8566,-100.5450725,42,High,-61.77245536
12851,-67.60338835,40,Low,-57.9014078
20124,-52.5206181,87,Low,-65.22941246
13376,-56.79387264,109,High,-85.23562025
17988,-51.75743207,67,Low,-67.94074363
39230,-69.91136962,94,Medium,-54.29530622
12196,-59.04768369,104,Low,-66.1735747
38206,-84.94781732,115,Low,-70.28020244
19499,-90.91723442,25,Low,-78.98466689
24374,-93.52303101,68,Medium,-89.78703784
11645,-59.92426575,16,Medium,-62.15566706
27096,-62.88200371,121,High,-52.31593446
8303,-53.8082363,41,Low,-76.83952244
13850,-118.8139724,128,High,-83.35961249
15825,-96.38484791,101,Low,-71.48557986
9959,-73.76550803,64,High,-74.64395195
36265,-97.78326046,131,High,-74.39653913
4116,-52.19519723,27,Medium,-80.78772045
37674,-83.66276298,86,High,-71.22300937
19350,-94.02638329,116,Medium,-71.57409793
10663,-81.49641402,132,Medium,-84.03343309
10418,-61.24225119,127,High,-67.52638855
36475,-113.376179,112,Medium,-60.69172564
37252,-98.51797477,98,Low,-52.17670477
35430,-107.1822688,32,Low,-66.78247927
38731,-114.467645,6,High,-61.26379909
36819,-112.7537984,68,Low,-53.19856121
5464,-83.09041023,138,Low,-73.91026694
40877,-101.8232023,50,Medium,-69.56188308
35394,-112.4594966,66,Low,-56.37863921
29198,-50.74064505,100,Medium,-71.83536021
14352,-118.9080006,149,High,-64.92549968
24341,-102.2692051,73,Low,-57.54058459
16152,-73.21633608,59,Medium,-68.79270786
16907,-109.2355465,122,Medium,-66.06379328
40705,-96.1842447,60,High,-75.46638629
25372,-76.12061019,106,Low,-66.64248064
30701,-81.36353217,64,High,-65.93482605
44429,-52.60170008,22,Medium,-51.65618472
37404,-91.60795092,131,Low,-68.95232376
29071,-63.91694294,115,High,-84.92568726
37277,-98.99435066,131,Medium,-62.95540231
22480,-118.1997171,85,Low,-83.49099841
3046,-80.43638515,55,Low,-71.52148056
9863,-116.2850935,80,High,-64.89159668
32194,-111.8189069,120,Medium,-75.7480837
40715,-88.8603692,118,Low,-72.34108855
31437,-56.11169042,141,High,-52.71002881
29150,-81.43216478,83,Low,-72.93971622
12996,-62.53546568,33,Low,-80.3103277
27387,-81.52916341,115,Low,-67.11384245
16561,-111.0682981,68,High,-52.75674855
28936,-51.86878297,130,Medium,-74.27770048
45726,-90.36926269,143,High,-78.89608796
6795,-118.6014562,138,Medium,-54.14871113
19203,-55.00183294,96,Low,-87.46701548
20430,-104.8201925,7,Low,-84.76103511
10358,-99.96657915,99,Medium,-82.52617043
37638,-89.53554315,139,Medium,-85.70530211
49176,-59.88338939,108,Low,-89.31374428
35758,-92.40243624,81,High,-68.72028071
8948,-81.52695171,18,High,-55.21049892
29671,-82.95635642,38,Low,-81.25221079
47655,-117.7699404,145,High,-54.51251807
40719,-52.57658957,25,Low,-56.79962054
49697,-111.5358662,134,Low,-62.64711025
69,-91.97815297,44,Low,-69.03444494
23021,-68.61664042,147,Medium,-65.77218601
19968,-74.79970398,46,Low,-87.43519719
25397,-75.93851331,14,High,-72.24437957
730,-71.11842037,111,Medium,-87.43746106
33588,-97.0424787,123,Low,-83.65958726
11278,-53.44672276,37,High,-71.36956169
