customer_id,device_type,num_devices_registered,device_age_months,network_generation,os_type,uses_5g,device_security_patch
60,Smartphone,4,8,5G,Android,FALSE,Outdated
61,Smartphone,3,36,4G,Android,TRUE,Up-to-date
62,Feature Phone,3,2,LTE,Android,FALSE,Outdated
63,Tablet,2,9,5G,Android,TRUE,Outdated
64,Smartphone,4,34,5G,iOS,TRUE,Outdated
65,Smartphone,3,6,5G,iOS,FALSE,Outdated
66,Smartphone,4,6,4G,Android,FALSE,Outdated
67,Smartphone,2,29,5G,Android,FALSE,Outdated
68,Smartphone,1,34,LTE,Android,TRUE,Outdated
69,Smartphone,1,3,4G,iOS,FALSE,Outdated
70,Tablet,2,27,5G,iOS,FALSE,Outdated
71,Smartphone,1,32,4G,Android,TRUE,Up-to-date
72,Feature Phone,2,10,LTE,iOS,FALSE,Up-to-date
73,Smartphone,2,21,LTE,Android,FALSE,Up-to-date
74,Smartphone,2,11,5G,Android,FALSE,Outdated
75,Smartphone,3,22,4G,Other,FALSE,Up-to-date
76,Smartphone,2,15,4G,Android,FALSE,Outdated
77,Smartwatch,2,32,LTE,Android,TRUE,Outdated
78,Smartphone,4,26,LTE,iOS,FALSE,Outdated
79,Smartphone,4,9,5G,iOS,FALSE,Up-to-date
80,Smartphone,3,3,4G,iOS,FALSE,Up-to-date
81,Smartphone,3,11,LTE,iOS,FALSE,Outdated
82,Feature Phone,3,34,LTE,iOS,FALSE,Outdated
83,Smartphone,2,13,LTE,iOS,FALSE,Up-to-date
84,Smartphone,2,13,5G,Android,TRUE,Outdated
85,Smartphone,2,13,4G,iOS,TRUE,Outdated
86,Feature Phone,1,20,LTE,Android,FALSE,Up-to-date
87,Smartphone,2,14,4G,Android,FALSE,Outdated
88,Smartphone,4,36,5G,Android,TRUE,Outdated
89,Smartphone,3,4,4G,Android,FALSE,Outdated
90,Smartphone,3,21,4G,iOS,FALSE,Up-to-date
91,Smartphone,2,9,4G,Android,FALSE,Up-to-date
92,Smartphone,1,22,LTE,Android,FALSE,Up-to-date
93,Smartphone,1,20,4G,Android,FALSE,Up-to-date
94,Smartphone,3,12,5G,iOS,FALSE,Outdated
95,Smartphone,3,36,5G,Android,FALSE,Outdated
96,Smartphone,2,20,5G,iOS,TRUE,Outdated
97,Smartphone,4,25,5G,iOS,FALSE,Up-to-date
98,Smartphone,4,11,4G,iOS,TRUE,Outdated
99,Smartphone,1,21,LTE,iOS,FALSE,Outdated
100,Feature Phone,2,20,4G,iOS,FALSE,Up-to-date
101,Smartphone,3,31,LTE,iOS,TRUE,Up-to-date
102,Smartwatch,4,10,LTE,Android,FALSE,Outdated
103,Smartphone,4,33,LTE,iOS,FALSE,Up-to-date
104,Smartphone,3,4,5G,iOS,FALSE,Up-to-date
105,Smartwatch,4,25,4G,Android,FALSE,Up-to-date
106,Feature Phone,3,30,LTE,Android,FALSE,Up-to-date
107,Smartphone,4,4,LTE,Android,TRUE,Outdated
108,Smartphone,2,17,LTE,iOS,TRUE,Up-to-date
109,Smartphone,1,27,4G,Android,FALSE,Outdated
110,Smartphone,1,1,LTE,iOS,TRUE,Up-to-date
111,Tablet,1,28,4G,Android,FALSE,Outdated
112,Smartphone,2,18,4G,Android,FALSE,Up-to-date
113,Smartphone,3,23,4G,Android,FALSE,Up-to-date
114,Smartphone,3,7,4G,iOS,FALSE,Up-to-date
115,Smartphone,2,9,4G,iOS,TRUE,Up-to-date
116,Smartphone,4,1,LTE,Android,FALSE,Outdated
117,Smartphone,2,17,4G,Android,TRUE,Up-to-date
118,Smartphone,1,17,4G,Android,FALSE,Up-to-date
119,Smartphone,1,31,4G,Android,FALSE,Outdated
120,Smartphone,3,4,4G,iOS,TRUE,Outdated
121,Tablet,3,19,LTE,Android,FALSE,Outdated
122,Smartphone,3,22,4G,Other,TRUE,Up-to-date
123,Smartphone,2,27,4G,Android,TRUE,Up-to-date
124,Smartphone,1,25,5G,iOS,TRUE,Outdated
125,Smartwatch,2,14,LTE,Android,TRUE,Up-to-date
126,Feature Phone,4,17,LTE,Android,FALSE,Outdated
127,Smartphone,4,7,5G,Android,FALSE,Up-to-date
128,Smartphone,1,16,4G,Android,FALSE,Outdated
129,Tablet,2,36,5G,iOS,FALSE,Outdated
130,Smartphone,4,29,5G,Other,FALSE,Outdated
131,Smartphone,4,17,4G,iOS,FALSE,Outdated
132,Smartphone,4,33,4G,iOS,FALSE,Outdated
133,Smartphone,4,22,4G,iOS,FALSE,Outdated
134,Feature Phone,2,11,4G,Other,FALSE,Up-to-date
135,Tablet,1,29,4G,Android,TRUE,Outdated
136,Tablet,3,18,LTE,Other,FALSE,Up-to-date
137,Smartphone,1,11,4G,Other,FALSE,Up-to-date
138,Smartphone,4,10,4G,iOS,FALSE,Outdated
139,Smartwatch,1,32,4G,Android,FALSE,Up-to-date
140,Smartphone,4,22,4G,iOS,FALSE,Up-to-date
141,Smartphone,2,8,LTE,Android,TRUE,Up-to-date
142,Smartphone,1,4,4G,iOS,FALSE,Outdated
143,Smartphone,2,11,4G,Android,FALSE,Up-to-date
144,Smartphone,4,24,4G,Android,FALSE,Outdated
145,Smartwatch,3,20,4G,iOS,TRUE,Up-to-date
146,Smartphone,4,21,5G,Android,FALSE,Up-to-date
147,Smartphone,3,6,LTE,iOS,TRUE,Up-to-date
148,Smartphone,3,14,4G,Android,FALSE,Outdated
149,Smartphone,4,17,LTE,iOS,TRUE,Outdated
150,Smartphone,2,8,4G,iOS,FALSE,Up-to-date
151,Smartphone,1,0,5G,Android,FALSE,Outdated
152,Feature Phone,2,7,LTE,Android,FALSE,Outdated
153,Smartphone,1,28,LTE,Android,FALSE,Outdated
154,Smartwatch,4,27,4G,Android,FALSE,Outdated
155,Feature Phone,2,27,4G,Android,FALSE,Outdated
156,Feature Phone,3,17,4G,Android,FALSE,Outdated
157,Feature Phone,1,15,LTE,Android,FALSE,Outdated
158,Smartphone,4,34,5G,Android,TRUE,Outdated
159,Smartphone,2,17,5G,iOS,FALSE,Outdated
160,Feature Phone,2,5,LTE,Other,FALSE,Outdated
161,Smartphone,1,0,LTE,Android,TRUE,Outdated
162,Feature Phone,3,36,4G,Android,FALSE,Outdated
163,Tablet,4,6,4G,Android,FALSE,Up-to-date
164,Smartphone,1,31,5G,Android,TRUE,Up-to-date
165,Tablet,4,22,5G,iOS,FALSE,Outdated
166,Smartphone,1,18,5G,iOS,FALSE,Outdated
167,Feature Phone,3,24,LTE,iOS,FALSE,Up-to-date
168,Smartphone,1,29,LTE,Android,TRUE,Outdated
169,Smartphone,3,31,4G,Android,TRUE,Up-to-date
170,Smartphone,3,32,4G,iOS,FALSE,Outdated
171,Feature Phone,1,7,LTE,Android,FALSE,Outdated
172,Smartphone,4,16,4G,Android,FALSE,Up-to-date
173,Smartphone,2,27,4G,Android,TRUE,Outdated
174,Tablet,3,2,4G,iOS,FALSE,Up-to-date
175,Smartphone,2,22,4G,Android,TRUE,Up-to-date
176,Smartphone,1,21,5G,iOS,TRUE,Up-to-date
177,Smartphone,1,29,4G,iOS,FALSE,Outdated
178,Tablet,2,20,4G,Android,TRUE,Outdated
179,Smartphone,4,9,4G,Android,TRUE,Outdated
180,Feature Phone,4,17,4G,iOS,FALSE,Outdated
181,Feature Phone,3,16,4G,Android,FALSE,Outdated
182,Smartphone,4,5,LTE,Android,TRUE,Outdated
183,Smartphone,3,22,5G,Android,TRUE,Outdated
184,Smartwatch,2,29,5G,Android,FALSE,Up-to-date
185,Smartphone,4,12,4G,Android,FALSE,Up-to-date
186,Feature Phone,3,15,4G,Android,FALSE,Up-to-date
187,Smartphone,2,11,5G,iOS,FALSE,Up-to-date
188,Smartphone,4,19,5G,Android,TRUE,Up-to-date
189,Smartphone,1,16,5G,Android,FALSE,Outdated
190,Smartphone,1,2,4G,Android,TRUE,Up-to-date
191,Smartphone,1,1,4G,iOS,FALSE,Outdated
192,Feature Phone,1,4,LTE,Android,FALSE,Outdated
193,Smartphone,2,27,4G,Android,TRUE,Outdated
194,Smartphone,3,2,LTE,Android,FALSE,Up-to-date
195,Feature Phone,4,27,4G,Android,FALSE,Up-to-date
196,Smartphone,1,28,LTE,iOS,TRUE,Outdated
197,Smartphone,4,28,4G,iOS,FALSE,Outdated
198,Smartwatch,2,35,4G,iOS,FALSE,Outdated
199,Smartphone,4,0,4G,Android,FALSE,Outdated
200,Smartwatch,4,2,LTE,iOS,FALSE,Outdated
201,Smartphone,2,4,4G,Android,FALSE,Outdated
202,Smartphone,4,35,4G,iOS,FALSE,Outdated
203,Smartphone,2,24,4G,iOS,FALSE,Up-to-date
204,Feature Phone,3,11,LTE,Android,FALSE,Outdated
205,Tablet,2,35,4G,Android,TRUE,Outdated
206,Smartphone,4,15,5G,Android,TRUE,Outdated
207,Smartphone,3,10,5G,iOS,FALSE,Up-to-date
208,Smartphone,3,34,4G,Android,FALSE,Outdated
209,Smartphone,3,32,5G,Android,FALSE,Up-to-date
210,Smartphone,2,1,4G,iOS,FALSE,Outdated
211,Smartwatch,2,34,4G,iOS,FALSE,Up-to-date
212,Tablet,4,19,5G,iOS,FALSE,Up-to-date
213,Smartwatch,2,36,LTE,Android,FALSE,Up-to-date
214,Feature Phone,3,29,LTE,iOS,FALSE,Outdated
215,Smartphone,1,28,4G,Android,TRUE,Outdated
216,Smartphone,2,15,LTE,Other,TRUE,Outdated
217,Smartphone,2,32,4G,Android,FALSE,Outdated
218,Smartphone,3,26,4G,Android,TRUE,Up-to-date
219,Feature Phone,4,35,4G,iOS,FALSE,Up-to-date
220,Tablet,4,23,4G,Android,TRUE,Up-to-date
221,Tablet,4,2,4G,iOS,TRUE,Outdated
222,Feature Phone,4,0,LTE,Android,FALSE,Outdated
223,Smartphone,4,19,4G,Android,TRUE,Outdated
224,Feature Phone,4,17,4G,iOS,FALSE,Up-to-date
225,Smartphone,4,5,5G,iOS,FALSE,Up-to-date
226,Feature Phone,2,32,LTE,Android,FALSE,Outdated
227,Smartphone,1,32,LTE,iOS,FALSE,Up-to-date
228,Smartphone,4,33,LTE,iOS,FALSE,Up-to-date
229,Smartphone,4,7,4G,Android,TRUE,Up-to-date
230,Smartphone,4,7,5G,Android,FALSE,Outdated
231,Feature Phone,2,15,LTE,iOS,FALSE,Up-to-date
232,Smartphone,1,23,4G,Android,FALSE,Up-to-date
233,Smartphone,2,33,5G,iOS,FALSE,Outdated
234,Smartphone,2,1,5G,Android,FALSE,Up-to-date
235,Feature Phone,2,23,4G,iOS,FALSE,Outdated
236,Smartphone,2,0,4G,Android,FALSE,Outdated
237,Smartphone,1,30,LTE,Android,FALSE,Outdated
238,Smartphone,4,19,4G,iOS,FALSE,Outdated
239,Feature Phone,4,23,LTE,Android,FALSE,Outdated
240,Smartphone,4,0,5G,iOS,FALSE,Up-to-date
241,Smartphone,2,7,5G,iOS,FALSE,Up-to-date
242,Smartphone,4,24,4G,iOS,TRUE,Outdated
243,Smartphone,3,20,LTE,Android,TRUE,Up-to-date
244,Feature Phone,1,16,4G,Android,FALSE,Outdated
245,Smartphone,2,19,4G,Android,FALSE,Up-to-date
246,Smartphone,4,33,4G,Android,TRUE,Outdated
247,Smartphone,2,34,4G,Android,FALSE,Outdated
248,Feature Phone,3,6,4G,Android,FALSE,Outdated
249,Feature Phone,1,18,4G,Android,FALSE,Outdated
250,Smartphone,2,7,5G,Android,FALSE,Outdated
251,Smartphone,4,12,4G,Android,FALSE,Outdated
252,Smartphone,4,0,4G,iOS,TRUE,Outdated
253,Smartphone,3,0,4G,iOS,FALSE,Outdated
254,Smartphone,4,25,4G,Android,TRUE,Outdated
255,Tablet,1,17,5G,iOS,FALSE,Outdated
256,Smartphone,3,25,LTE,Android,FALSE,Outdated
257,Tablet,2,18,LTE,iOS,FALSE,Outdated
258,Smartphone,2,1,4G,Other,TRUE,Up-to-date
259,Smartphone,4,27,5G,Android,FALSE,Up-to-date
260,Smartwatch,3,26,5G,Android,TRUE,Outdated
261,Smartphone,4,7,5G,iOS,FALSE,Up-to-date
262,Feature Phone,2,11,LTE,Android,FALSE,Outdated
263,Smartphone,4,24,4G,Android,TRUE,Outdated
264,Smartphone,2,25,5G,iOS,TRUE,Outdated
265,Smartphone,1,29,4G,iOS,TRUE,Outdated
266,Smartphone,4,33,5G,Android,FALSE,Outdated
267,Smartphone,3,20,5G,Other,TRUE,Outdated
268,Smartphone,1,23,4G,iOS,FALSE,Up-to-date
269,Smartphone,4,27,5G,Android,TRUE,Outdated
270,Smartphone,4,6,4G,Android,FALSE,Up-to-date
271,Feature Phone,3,21,4G,Android,FALSE,Outdated
272,Smartphone,3,19,LTE,Android,TRUE,Outdated
273,Smartphone,4,32,4G,Other,FALSE,Up-to-date
274,Smartphone,2,10,4G,iOS,FALSE,Outdated
275,Smartphone,2,2,LTE,iOS,TRUE,Up-to-date
276,Smartphone,1,30,4G,Android,FALSE,Outdated
277,Smartphone,3,27,5G,Android,FALSE,Outdated
278,Smartphone,3,34,4G,Android,FALSE,Up-to-date
279,Smartphone,3,11,5G,Android,FALSE,Outdated
280,Smartphone,3,2,LTE,Android,FALSE,Outdated
281,Smartphone,4,30,4G,Android,FALSE,Outdated
282,Smartwatch,3,2,5G,iOS,FALSE,Up-to-date
283,Tablet,3,34,4G,Android,FALSE,Up-to-date
284,Smartwatch,1,26,4G,iOS,TRUE,Outdated
285,Smartphone,2,19,4G,iOS,FALSE,Outdated
286,Tablet,2,16,LTE,Android,FALSE,Outdated
287,Smartphone,1,34,LTE,Android,TRUE,Outdated
288,Smartphone,2,28,5G,iOS,FALSE,Up-to-date
289,Smartphone,3,19,5G,Android,FALSE,Up-to-date
290,Smartphone,1,26,5G,Android,TRUE,Outdated
291,Smartwatch,4,18,LTE,iOS,FALSE,Up-to-date
292,Smartphone,3,25,4G,iOS,FALSE,Up-to-date
293,Smartphone,4,6,LTE,iOS,FALSE,Outdated
294,Smartphone,1,10,4G,Android,FALSE,Outdated
295,Smartphone,2,3,4G,Android,FALSE,Up-to-date
296,Smartphone,1,7,4G,iOS,TRUE,Up-to-date
297,Smartphone,1,4,4G,Android,FALSE,Outdated
298,Smartphone,4,6,LTE,Android,FALSE,Outdated
299,Smartphone,1,35,4G,Android,FALSE,Outdated
300,Smartphone,3,33,4G,Android,FALSE,Up-to-date
301,Smartphone,4,19,4G,Android,TRUE,Up-to-date
302,Smartphone,2,19,4G,Android,TRUE,Outdated
303,Smartphone,1,1,5G,iOS,FALSE,Outdated
304,Feature Phone,1,30,4G,Other,FALSE,Up-to-date
305,Tablet,2,5,5G,Android,FALSE,Up-to-date
306,Smartphone,3,26,5G,Android,TRUE,Outdated
307,Smartphone,4,4,4G,Android,FALSE,Up-to-date
308,Smartphone,3,5,LTE,Android,FALSE,Outdated
309,Smartphone,3,36,4G,iOS,FALSE,Up-to-date
310,Smartphone,2,22,4G,Android,TRUE,Up-to-date
311,Smartphone,1,6,4G,Android,FALSE,Up-to-date
312,Smartphone,3,2,LTE,iOS,FALSE,Outdated
313,Smartphone,2,30,5G,Android,FALSE,Outdated
314,Tablet,4,36,LTE,Android,FALSE,Up-to-date
315,Feature Phone,3,12,LTE,iOS,FALSE,Up-to-date
316,Smartphone,3,30,4G,Android,TRUE,Up-to-date
317,Smartphone,2,8,5G,Android,FALSE,Outdated
318,Smartwatch,1,2,4G,Android,FALSE,Up-to-date
319,Smartphone,3,12,5G,Android,FALSE,Up-to-date
320,Smartphone,3,2,LTE,Android,FALSE,Outdated
321,Smartphone,4,32,4G,Android,TRUE,Up-to-date
322,Smartphone,2,12,LTE,iOS,FALSE,Outdated
323,Smartphone,1,20,4G,iOS,FALSE,Up-to-date
324,Smartwatch,1,20,4G,Android,FALSE,Up-to-date
325,Smartphone,3,17,LTE,Android,FALSE,Up-to-date
326,Smartwatch,2,30,5G,iOS,FALSE,Up-to-date
327,Smartphone,1,25,LTE,Android,TRUE,Up-to-date
328,Smartphone,2,14,5G,Android,TRUE,Up-to-date
329,Smartphone,1,31,4G,Android,TRUE,Outdated
330,Feature Phone,1,28,LTE,Android,FALSE,Up-to-date
331,Smartphone,1,35,5G,iOS,TRUE,Up-to-date
332,Smartphone,1,12,4G,iOS,TRUE,Outdated
333,Smartphone,1,0,LTE,iOS,TRUE,Outdated
334,Smartphone,3,33,4G,Android,FALSE,Up-to-date
335,Smartphone,2,36,4G,Android,FALSE,Outdated
336,Smartphone,4,19,4G,Other,FALSE,Up-to-date
337,Smartphone,3,24,4G,iOS,TRUE,Up-to-date
338,Smartphone,2,1,4G,Android,FALSE,Up-to-date
339,Feature Phone,2,16,LTE,Android,FALSE,Up-to-date
340,Smartphone,1,12,4G,iOS,TRUE,Outdated
341,Smartwatch,2,33,4G,Android,TRUE,Outdated
342,Tablet,1,26,4G,iOS,TRUE,Outdated
343,Feature Phone,3,0,4G,iOS,FALSE,Outdated
344,Smartphone,1,2,5G,Android,FALSE,Up-to-date
345,Smartphone,4,25,5G,iOS,TRUE,Up-to-date
346,Smartphone,2,28,4G,Android,FALSE,Outdated
347,Smartphone,3,31,5G,iOS,TRUE,Up-to-date
348,Smartphone,3,29,5G,Android,TRUE,Up-to-date
349,Tablet,1,32,5G,Android,FALSE,Outdated
350,Smartphone,3,15,4G,iOS,FALSE,Up-to-date
351,Smartphone,1,36,4G,Android,FALSE,Up-to-date
352,Tablet,1,32,5G,iOS,FALSE,Outdated
353,Smartphone,1,26,4G,iOS,TRUE,Outdated
354,Smartphone,2,17,LTE,iOS,FALSE,Outdated
355,Smartphone,2,22,LTE,iOS,FALSE,Up-to-date
356,Smartphone,1,24,4G,Android,FALSE,Up-to-date
357,Smartphone,3,24,LTE,iOS,TRUE,Outdated
358,Tablet,4,33,5G,Android,FALSE,Outdated
359,Smartphone,3,5,5G,Android,FALSE,Outdated
360,Smartphone,1,27,5G,Android,FALSE,Outdated
361,Smartphone,1,0,5G,iOS,TRUE,Outdated
362,Smartphone,4,24,5G,Android,FALSE,Outdated
363,Smartphone,1,15,4G,Android,FALSE,Outdated
364,Feature Phone,3,27,4G,Android,FALSE,Outdated
365,Feature Phone,4,12,4G,Android,FALSE,Up-to-date
366,Smartphone,3,16,5G,iOS,TRUE,Up-to-date
367,Tablet,2,14,4G,iOS,FALSE,Outdated
368,Feature Phone,3,11,LTE,iOS,FALSE,Outdated
369,Smartphone,1,16,5G,Android,FALSE,Outdated
370,Smartwatch,1,6,LTE,Android,TRUE,Outdated
371,Smartphone,2,21,5G,Other,FALSE,Outdated
372,Smartphone,3,22,5G,Android,FALSE,Outdated
373,Smartwatch,4,8,4G,iOS,FALSE,Up-to-date
374,Smartwatch,3,27,4G,Android,FALSE,Up-to-date
375,Tablet,2,7,4G,iOS,FALSE,Up-to-date
376,Smartphone,4,29,4G,iOS,FALSE,Outdated
377,Smartphone,3,21,5G,iOS,FALSE,Up-to-date
378,Smartphone,1,13,4G,Android,TRUE,Up-to-date
379,Tablet,1,27,4G,iOS,TRUE,Outdated
380,Smartphone,3,5,4G,iOS,FALSE,Up-to-date
381,Smartphone,2,20,5G,iOS,FALSE,Up-to-date
382,Tablet,4,18,5G,iOS,TRUE,Outdated
383,Smartphone,4,3,LTE,Android,TRUE,Outdated
384,Feature Phone,2,25,LTE,Android,FALSE,Up-to-date
385,Feature Phone,1,28,LTE,Android,FALSE,Up-to-date
386,Smartwatch,4,18,LTE,Android,FALSE,Up-to-date
387,Smartphone,1,32,LTE,iOS,FALSE,Outdated
388,Smartphone,2,18,5G,iOS,TRUE,Outdated
389,Feature Phone,2,24,LTE,iOS,FALSE,Up-to-date
390,Smartphone,4,17,4G,Android,FALSE,Up-to-date
391,Smartphone,1,21,4G,iOS,TRUE,Up-to-date
392,Smartphone,3,27,5G,iOS,TRUE,Up-to-date
393,Smartphone,1,13,5G,Android,TRUE,Up-to-date
394,Tablet,1,23,5G,iOS,TRUE,Up-to-date
395,Smartphone,4,21,5G,Android,FALSE,Up-to-date
396,Smartphone,4,9,4G,Android,FALSE,Up-to-date
397,Smartphone,1,11,4G,Android,FALSE,Up-to-date
398,Smartphone,4,4,4G,Android,TRUE,Up-to-date
399,Smartphone,2,21,4G,Android,TRUE,Outdated
400,Feature Phone,1,13,4G,Android,FALSE,Up-to-date
401,Smartphone,4,5,5G,Android,FALSE,Outdated
402,Smartphone,4,31,4G,iOS,FALSE,Up-to-date
403,Smartphone,4,10,4G,iOS,TRUE,Outdated
404,Smartphone,3,21,4G,Android,FALSE,Outdated
405,Tablet,4,19,4G,Android,TRUE,Outdated
406,Smartphone,2,22,4G,iOS,FALSE,Outdated
407,Smartphone,4,33,5G,Android,FALSE,Up-to-date
408,Smartphone,1,9,LTE,iOS,FALSE,Outdated
409,Smartphone,2,21,4G,Android,TRUE,Up-to-date
410,Smartphone,2,27,4G,Android,FALSE,Up-to-date
411,Smartwatch,3,28,LTE,iOS,FALSE,Up-to-date
412,Smartphone,2,4,4G,Android,TRUE,Outdated
413,Smartphone,1,17,4G,Android,FALSE,Up-to-date
414,Smartphone,3,1,5G,Android,TRUE,Outdated
415,Smartphone,2,19,LTE,Android,FALSE,Outdated
416,Tablet,3,1,4G,iOS,FALSE,Up-to-date
417,Feature Phone,2,3,4G,iOS,FALSE,Up-to-date
418,Smartphone,2,12,5G,Android,FALSE,Outdated
419,Feature Phone,1,31,LTE,Android,FALSE,Up-to-date
420,Smartphone,4,5,LTE,Android,FALSE,Outdated
421,Feature Phone,4,19,LTE,iOS,FALSE,Up-to-date
422,Smartphone,4,3,LTE,Android,FALSE,Outdated
423,Smartphone,4,15,5G,Other,FALSE,Outdated
424,Smartphone,3,28,LTE,iOS,FALSE,Outdated
425,Feature Phone,2,34,LTE,Android,FALSE,Up-to-date
426,Smartphone,2,20,4G,iOS,TRUE,Up-to-date
427,Smartphone,4,11,4G,iOS,FALSE,Up-to-date
428,Smartphone,4,20,4G,Android,FALSE,Up-to-date
429,Feature Phone,1,3,LTE,iOS,FALSE,Up-to-date
430,Smartphone,2,3,LTE,Android,FALSE,Outdated
431,Smartwatch,2,14,4G,Android,TRUE,Outdated
432,Feature Phone,4,12,4G,Other,FALSE,Up-to-date
433,Smartphone,1,15,LTE,Android,TRUE,Outdated
434,Smartphone,4,13,4G,Android,TRUE,Up-to-date
435,Smartwatch,1,28,4G,iOS,FALSE,Up-to-date
436,Smartphone,4,23,5G,Android,FALSE,Up-to-date
437,Feature Phone,4,10,4G,Other,FALSE,Up-to-date
438,Smartphone,1,21,4G,Android,TRUE,Outdated
439,Smartphone,4,10,4G,Android,TRUE,Outdated
440,Smartphone,2,16,LTE,Android,FALSE,Outdated
441,Smartphone,1,16,LTE,iOS,FALSE,Up-to-date
442,Tablet,4,8,5G,Android,TRUE,Up-to-date
443,Smartphone,2,29,5G,Android,TRUE,Up-to-date
444,Smartphone,3,32,4G,Android,TRUE,Up-to-date
445,Smartphone,2,5,4G,Other,FALSE,Up-to-date
446,Smartphone,1,18,5G,iOS,FALSE,Up-to-date
447,Smartphone,1,6,5G,Android,TRUE,Outdated
448,Tablet,3,31,5G,Android,TRUE,Up-to-date
449,Smartphone,2,15,5G,Other,TRUE,Outdated
450,Smartphone,3,20,4G,Android,TRUE,Outdated
451,Feature Phone,2,36,LTE,Android,FALSE,Up-to-date
452,Smartwatch,2,12,4G,iOS,TRUE,Up-to-date
453,Smartphone,2,24,4G,Android,FALSE,Up-to-date
454,Smartphone,2,35,4G,Android,FALSE,Up-to-date
455,Smartphone,3,27,5G,Android,FALSE,Outdated
456,Feature Phone,2,27,4G,iOS,FALSE,Up-to-date
457,Smartphone,1,16,LTE,Android,FALSE,Up-to-date
458,Smartphone,1,33,4G,Android,TRUE,Outdated
459,Tablet,1,10,5G,Android,TRUE,Outdated
460,Smartphone,3,6,4G,Android,FALSE,Up-to-date
461,Smartphone,3,31,LTE,Android,FALSE,Up-to-date
462,Smartphone,3,9,4G,iOS,FALSE,Up-to-date
463,Smartphone,2,28,5G,iOS,TRUE,Outdated
464,Smartwatch,3,24,5G,Other,FALSE,Up-to-date
465,Smartphone,1,30,4G,Android,FALSE,Outdated
466,Smartphone,4,10,5G,iOS,TRUE,Up-to-date
467,Feature Phone,1,4,4G,iOS,FALSE,Up-to-date
