customer_id,monthly_online_purchases,avg_cart_value,most_purchased_category,ad_clicks_per_month,offer_response_rate,marketing_emails_opened,preferred_contact_channel
49,8,73,Entertainment,13,0.628,3,Phone
50,35,308,Electronics,4,0.603,19,App
51,15,152,Groceries,51,0.188,6,SMS
52,15,302,Fast_Food,19,0.289,17,SMS
53,33,479,Groceries,49,0.341,18,SMS
54,18,17,Entertainment,37,0.947,18,App
55,33,435,Groceries,28,0.531,2,Email
56,25,244,Electronics,57,0.577,5,SMS
57,8,554,Groceries,24,0.712,20,Phone
58,17,577,Fast_Food,6,0.798,2,Phone
59,17,618,Entertainment,48,0.674,16,Phone
60,35,45,Electronics,63,0.022,7,SMS
61,7,610,Electronics,62,0.912,17,Email
62,7,78,Groceries,64,0.528,4,SMS
63,12,215,Fast_Food,11,0.601,12,SMS
64,28,347,Entertainment,14,0.531,3,Email
65,7,92,Entertainment,12,0.099,7,Phone
66,34,474,Electronics,66,0.231,4,SMS
67,8,291,Entertainment,56,0.234,8,Phone
68,7,559,Entertainment,37,0.865,12,App
69,33,272,Clothing,67,0.774,11,Phone
70,14,557,Fast_Food,28,0.346,1,SMS
71,22,673,Fast_Food,36,0.373,0,SMS
72,10,301,Electronics,42,0.597,6,Phone
73,14,562,Clothing,44,0.931,13,Phone
74,22,216,Groceries,58,0.832,0,SMS
75,23,223,Clothing,31,0.312,7,SMS
76,31,210,Electronics,10,0.856,6,Phone
77,38,486,Fast_Food,26,0.239,13,Phone
78,20,617,Electronics,22,0.83,10,SMS
79,28,600,Clothing,3,0.667,0,App
80,34,228,Clothing,66,0.278,10,Email
81,20,167,Electronics,17,0.899,16,Phone
82,29,682,Entertainment,32,0.166,14,SMS
83,10,379,Electronics,68,0.22,12,Email
84,37,382,Fast_Food,21,0.539,13,Phone
85,14,506,Electronics,37,0.468,0,Email
86,19,82,Groceries,33,0.883,17,SMS
87,28,370,Clothing,0,0.784,9,Email
88,21,317,Fast_Food,34,0.558,4,SMS
89,12,370,Fast_Food,11,0.45,4,App
90,5,44,Fast_Food,68,0.339,9,SMS
91,18,295,Fast_Food,16,0.219,0,Phone
92,25,446,Clothing,49,0.723,16,SMS
93,9,131,Clothing,45,0.4,16,SMS
94,10,329,Clothing,43,0.222,9,Phone
95,33,64,Groceries,4,0.597,14,App
96,9,399,Groceries,68,0.103,20,SMS
97,4,197,Entertainment,28,0.739,16,Email
98,1,192,Entertainment,50,0.573,3,SMS
99,11,634,Fast_Food,47,0.53,3,App
100,22,142,Fast_Food,55,0.231,0,Phone
101,18,278,Electronics,12,0.06,18,Email
102,28,52,Entertainment,59,0.17,17,SMS
103,0,511,Electronics,59,0.311,5,SMS
104,14,293,Fast_Food,3,0.257,19,Phone
105,14,233,Electronics,36,0.46,7,Phone
106,21,489,Fast_Food,5,0.931,20,App
107,12,629,Fast_Food,64,0.507,14,App
108,13,121,Electronics,59,0.661,6,App
109,16,305,Clothing,50,0.691,2,App
110,33,490,Fast_Food,67,0.099,5,SMS
111,3,253,Groceries,44,0.566,6,App
112,20,606,Electronics,24,0.467,10,SMS
113,29,395,Fast_Food,43,0.226,9,Phone
114,39,323,Groceries,23,0.667,11,App
115,39,330,Electronics,22,0.79,12,SMS
116,5,346,Groceries,19,0.958,19,App
117,31,252,Entertainment,29,0.61,9,SMS
118,23,607,Groceries,30,0.448,13,SMS
119,9,618,Fast_Food,52,0.249,13,App
120,22,123,Clothing,17,0.296,8,SMS
121,39,305,Clothing,40,0.02,9,App
122,10,484,Fast_Food,56,0.153,4,SMS
123,30,334,Electronics,21,0.126,1,Phone
124,16,347,Groceries,52,0.462,10,App
125,12,585,Electronics,53,0.459,6,App
126,13,313,Clothing,2,0.369,4,Phone
127,12,482,Electronics,15,0.332,16,Phone
128,21,281,Electronics,16,0.644,4,SMS
129,37,426,Entertainment,62,0.566,0,SMS
130,24,607,Groceries,24,0.505,18,SMS
131,20,174,Electronics,33,0.997,4,Phone
132,24,566,Electronics,61,0.92,9,SMS
133,39,265,Clothing,17,0.15,20,Phone
134,23,465,Fast_Food,39,0.179,19,Email
135,6,196,Electronics,51,0.131,14,Phone
136,12,658,Fast_Food,9,0.415,11,Email
137,5,94,Entertainment,9,0.327,6,Phone
138,7,169,Fast_Food,40,0.789,20,Phone
139,22,341,Electronics,14,0.387,11,Phone
140,15,504,Entertainment,61,0.152,20,SMS
141,34,409,Fast_Food,15,0.025,20,Phone
142,17,379,Electronics,55,0.925,11,SMS
143,22,87,Clothing,12,0.823,19,Phone
144,22,525,Electronics,8,0.686,2,Email
145,18,178,Electronics,20,0.952,10,App
146,20,37,Groceries,16,0.531,4,App
147,22,220,Fast_Food,61,0.51,19,SMS
148,32,438,Entertainment,62,0.794,0,Email
149,5,646,Clothing,53,0.783,13,Phone
150,25,631,Entertainment,36,0.38,5,Email
151,4,178,Fast_Food,48,0.298,19,Phone
152,27,549,Groceries,40,0.158,7,Phone
153,29,386,Entertainment,68,0.569,19,Phone
154,12,149,Fast_Food,37,0.252,6,SMS
155,32,447,Electronics,53,0.677,8,Email
156,8,388,Groceries,58,0.354,14,Email
157,16,215,Entertainment,44,0.746,4,SMS
158,30,35,Clothing,47,0.454,3,Phone
159,37,184,Groceries,52,0.295,2,Email
160,39,580,Entertainment,32,0.258,18,SMS
161,12,595,Groceries,43,0.792,12,Phone
162,21,305,Entertainment,17,0.085,9,SMS
163,37,566,Groceries,30,0.626,19,Phone
164,10,33,Fast_Food,17,0.968,19,SMS
165,33,370,Entertainment,66,0.874,13,Email
166,38,82,Groceries,20,0.754,5,SMS
167,15,634,Entertainment,65,0.644,6,Email
168,10,92,Clothing,46,0.522,2,Email
169,1,54,Groceries,12,0.947,16,SMS
170,22,149,Entertainment,46,0.337,4,SMS
171,22,565,Fast_Food,58,0.366,12,Email
172,32,315,Groceries,3,0.123,1,App
173,19,575,Clothing,33,0.078,6,SMS
174,5,643,Entertainment,69,0.47,17,SMS
175,25,539,Fast_Food,67,0.194,14,Email
176,28,42,Groceries,22,0.095,15,SMS
177,11,277,Electronics,19,0.763,20,SMS
178,15,502,Entertainment,52,0.471,1,App
179,5,690,Clothing,13,0.72,12,SMS
180,5,542,Fast_Food,24,0.037,5,App
181,8,199,Electronics,45,0.299,13,Phone
182,31,367,Clothing,63,0.652,8,SMS
183,21,480,Entertainment,44,0.508,6,Phone
184,24,386,Groceries,67,0.285,16,SMS
185,2,385,Entertainment,50,0.121,18,Phone
186,29,570,Clothing,40,0.35,1,App
187,23,303,Groceries,29,0.211,4,Phone
188,36,181,Fast_Food,47,0.45,10,SMS
189,37,343,Electronics,22,0.526,16,App
190,14,626,Fast_Food,37,0.317,4,SMS
191,16,192,Fast_Food,11,0.024,12,Email
192,9,521,Clothing,43,0.384,3,Phone
193,39,518,Groceries,0,0.846,20,Phone
194,15,656,Fast_Food,42,0.176,9,SMS
195,32,59,Fast_Food,23,0.614,15,SMS
196,22,406,Entertainment,27,0.663,18,App
197,13,619,Clothing,67,0.705,10,App
198,26,642,Electronics,6,0.144,0,Email
199,7,258,Groceries,49,0.015,13,SMS
200,29,686,Clothing,7,0.097,15,Email
201,37,629,Electronics,11,0.122,17,SMS
202,25,414,Clothing,58,0.835,12,Email
203,21,544,Clothing,60,0.185,9,SMS
204,26,227,Fast_Food,58,0.979,11,Phone
205,9,298,Electronics,37,0.528,1,SMS
206,27,342,Groceries,32,0.604,2,Email
207,34,122,Electronics,35,0.086,8,Email
208,12,457,Electronics,52,0.072,18,Phone
209,8,488,Clothing,12,0.196,2,Email
210,6,416,Fast_Food,28,0.105,19,App
211,16,598,Groceries,0,0.76,2,Phone
212,29,523,Electronics,0,0.895,16,Email
213,38,569,Groceries,17,0.147,15,SMS
214,2,24,Fast_Food,35,0.476,3,App
215,2,77,Entertainment,65,0.861,11,Phone
216,36,127,Electronics,61,0.335,8,Phone
217,2,440,Clothing,51,0.053,1,SMS
218,1,65,Groceries,41,0.201,6,SMS
219,16,237,Clothing,57,0.439,10,App
220,12,622,Entertainment,17,0.965,8,App
221,27,121,Clothing,39,0.422,18,App
222,6,526,Electronics,23,0.949,5,Phone
223,13,155,Electronics,36,0.53,15,SMS
224,19,553,Entertainment,3,0.998,20,SMS
225,14,389,Clothing,58,0.342,7,SMS
226,18,326,Entertainment,5,0.949,14,App
227,39,577,Fast_Food,51,0.367,5,Phone
228,38,72,Electronics,56,0.962,7,Email
229,10,284,Groceries,27,0.153,1,Email
230,25,55,Groceries,43,0.931,14,SMS
231,11,143,Entertainment,51,0.582,5,Email
232,15,656,Fast_Food,69,0.565,4,App
233,33,356,Entertainment,44,0.019,11,SMS
234,38,466,Groceries,49,0.927,9,App
235,21,595,Clothing,19,0.36,18,App
236,3,629,Electronics,65,0.892,17,Email
237,19,334,Groceries,15,0.825,7,SMS
238,18,479,Entertainment,50,0.879,8,Phone
239,18,310,Clothing,4,0.693,3,App
240,19,671,Clothing,51,0.631,9,App
241,4,148,Fast_Food,45,0.211,2,SMS
242,15,643,Electronics,20,0.37,20,App
243,17,493,Groceries,58,0.446,10,App
244,27,22,Electronics,40,0.991,19,Email
245,7,679,Fast_Food,26,0.243,8,Email
246,39,135,Entertainment,66,0.808,9,App
247,18,385,Entertainment,35,0.795,2,SMS
248,5,696,Groceries,46,0.739,5,App
249,15,595,Clothing,45,0.619,13,App
250,16,246,Clothing,9,0.724,6,Email
251,9,327,Electronics,57,0.58,7,Phone
252,16,273,Electronics,18,0.222,14,Email
253,34,470,Groceries,20,0.21,9,Email
254,35,42,Entertainment,53,0.011,6,App
255,35,677,Clothing,44,0.026,16,Email
256,16,274,Fast_Food,36,0.576,9,Phone
257,39,220,Entertainment,32,0.26,3,SMS
258,9,9,Entertainment,11,0.739,13,Phone
259,17,196,Groceries,20,0.51,3,App
260,21,639,Fast_Food,57,0.63,18,Phone
261,36,404,Entertainment,61,0.949,1,Phone
262,19,333,Clothing,8,0.24,18,App
263,28,331,Fast_Food,61,0.572,9,Email
264,9,533,Fast_Food,18,0.505,15,SMS
265,5,687,Entertainment,40,0.576,13,App
266,9,250,Entertainment,49,0.556,5,Phone
267,22,56,Entertainment,4,0.986,5,Email
268,29,379,Electronics,51,0.767,0,SMS
269,1,107,Clothing,67,0.656,20,Phone
270,13,418,Fast_Food,51,0.409,17,SMS
271,39,295,Clothing,27,0.296,1,Phone
272,8,533,Clothing,26,0.058,20,SMS
273,18,636,Clothing,23,0.243,16,SMS
274,37,573,Electronics,2,0.972,19,Phone
275,26,374,Entertainment,69,0.524,8,App
276,31,162,Fast_Food,13,0.231,1,Phone
277,12,476,Entertainment,1,0.959,5,Phone
278,19,69,Electronics,53,0.786,16,App
279,5,632,Clothing,46,0.132,0,App
280,29,76,Electronics,19,0.743,5,Phone
281,35,602,Electronics,17,0.139,14,Email
282,7,501,Entertainment,50,0.741,9,Phone
283,12,214,Fast_Food,21,0.615,6,Phone
284,13,349,Entertainment,17,0.335,10,SMS
285,23,196,Fast_Food,47,0.631,15,App
286,17,108,Electronics,22,0.176,13,SMS
287,19,157,Electronics,31,0.525,15,App
288,26,444,Clothing,14,0.143,11,Email
289,13,644,Fast_Food,2,0.571,11,SMS
290,20,295,Entertainment,58,0.507,0,SMS
291,2,434,Entertainment,10,0.322,4,SMS
292,14,164,Fast_Food,17,0.213,19,App
293,21,59,Groceries,7,0.655,7,Phone
294,38,513,Electronics,0,0.532,11,Phone
295,15,560,Groceries,17,0.46,13,App
296,14,401,Clothing,37,0.141,12,SMS
297,6,274,Electronics,26,0.107,16,SMS
298,4,531,Electronics,63,0.897,9,Phone
299,6,93,Fast_Food,4,0.783,8,Email
300,37,498,Fast_Food,52,0.814,20,Email
301,21,57,Fast_Food,46,0.615,6,SMS
302,38,681,Groceries,53,0.955,3,App
303,17,229,Electronics,15,0.761,14,SMS
304,35,431,Fast_Food,1,0.938,19,Phone
305,29,151,Entertainment,2,0.854,16,App
306,6,574,Fast_Food,15,0.308,1,Email
307,28,331,Groceries,4,0.206,0,SMS
308,29,32,Entertainment,60,0.694,8,SMS
309,0,59,Entertainment,36,0.745,16,App
310,0,402,Entertainment,48,0.957,7,App
311,25,656,Fast_Food,0,0.142,6,SMS
312,4,427,Electronics,11,0.448,0,Phone
313,5,630,Groceries,14,0.638,15,Email
314,38,463,Entertainment,38,0.956,4,SMS
315,38,42,Entertainment,53,0.287,6,App
316,36,136,Fast_Food,48,0.596,1,Email
317,12,161,Electronics,35,0.627,16,Email
318,32,212,Fast_Food,14,0.025,11,SMS
319,7,364,Entertainment,12,0.188,19,Phone
320,9,530,Electronics,62,0.899,20,SMS
321,37,56,Fast_Food,27,0.276,8,Email
322,4,81,Clothing,25,0.209,2,Email
323,38,295,Clothing,6,0.507,10,App
324,26,77,Entertainment,49,0.462,10,App
325,39,441,Electronics,16,0.213,9,SMS
326,27,448,Fast_Food,38,0.442,6,Phone
327,0,37,Electronics,23,0.714,12,Phone
328,26,150,Clothing,16,0.687,13,Email
329,8,241,Clothing,62,0.553,12,Email
330,21,155,Electronics,62,0.856,13,App
331,26,569,Entertainment,49,0.673,11,Phone
332,34,420,Electronics,60,0.429,8,Email
333,9,365,Electronics,15,0.698,20,SMS
334,12,263,Entertainment,21,0.21,6,Phone
335,22,606,Clothing,43,0.397,17,Email
336,36,307,Clothing,46,0.074,4,Phone
337,1,131,Groceries,30,0.286,11,Phone
338,19,24,Fast_Food,44,0.055,11,App
339,18,250,Entertainment,38,0.179,3,App
340,31,649,Fast_Food,3,0.818,3,App
341,38,115,Clothing,15,0.814,2,App
342,3,152,Clothing,56,0.493,5,Email
343,14,685,Groceries,9,0.874,12,App
344,17,335,Fast_Food,16,0.097,6,Phone
345,33,347,Fast_Food,49,0.822,14,App
346,22,119,Entertainment,34,0.933,17,Phone
347,38,431,Entertainment,32,0.514,10,SMS
348,22,249,Groceries,13,0.293,0,Phone
349,1,662,Entertainment,15,0.392,15,Email
350,18,361,Electronics,1,0.362,9,Email
351,6,477,Entertainment,1,0.789,17,App
352,14,134,Electronics,24,0.707,16,Phone
353,17,640,Electronics,35,0.983,18,Email
354,7,462,Entertainment,54,0.481,6,Email
355,36,673,Clothing,5,0.934,15,App
356,23,634,Entertainment,34,0.106,19,SMS
357,35,34,Fast_Food,37,0.73,7,Email
358,6,552,Clothing,68,0.524,10,SMS
359,12,672,Groceries,19,0.093,13,App
360,32,378,Entertainment,38,0.14,15,SMS
361,34,192,Entertainment,26,0.387,11,Phone
362,24,496,Fast_Food,67,0.398,17,App
363,5,556,Clothing,46,0.415,18,Email
364,38,28,Groceries,26,0.97,12,Phone
365,18,349,Groceries,59,0.152,11,App
366,8,191,Entertainment,50,0.289,11,Phone
367,5,117,Clothing,26,0.981,13,Phone
368,17,157,Entertainment,62,0.487,4,Email
369,10,586,Fast_Food,43,0.537,2,Email
370,13,89,Clothing,48,0.752,9,SMS
371,37,244,Entertainment,28,0.531,18,App
372,22,266,Electronics,22,0.236,8,Email
373,7,441,Clothing,56,0.286,6,SMS
374,24,35,Clothing,19,0.37,5,App
375,27,633,Entertainment,20,0.866,17,App
376,19,312,Clothing,20,0.196,0,SMS
377,32,456,Entertainment,59,0.571,2,Email
378,24,159,Fast_Food,20,0.931,18,App
379,14,628,Entertainment,2,0.831,16,SMS
380,5,530,Entertainment,10,0.803,0,Phone
381,3,192,Electronics,12,0.015,11,Phone
382,12,601,Fast_Food,16,0.319,1,App
383,21,382,Clothing,66,0.5,17,Email
384,11,285,Entertainment,37,0.235,5,Phone
385,24,632,Clothing,45,0.304,5,App
386,4,586,Fast_Food,20,0.195,16,Phone
387,30,235,Clothing,16,0.351,11,SMS
388,37,176,Fast_Food,42,0.958,14,App
389,27,454,Clothing,16,0.089,10,Email
390,39,479,Groceries,22,0.041,17,SMS
391,20,490,Groceries,22,0.165,2,SMS
392,23,88,Clothing,37,0.458,9,Email
393,8,149,Clothing,33,0.573,11,Phone
394,21,361,Fast_Food,56,0.97,12,App
395,27,20,Electronics,46,0.815,6,Email
396,15,268,Entertainment,47,0.358,8,App
397,2,214,Entertainment,55,0.229,7,Phone
398,19,14,Fast_Food,37,0.035,2,SMS
399,37,43,Fast_Food,67,0.956,17,App
400,27,541,Clothing,0,0.493,19,Email
401,6,595,Electronics,7,0.697,18,Phone
402,0,693,Electronics,65,0.29,14,Phone
403,18,623,Groceries,6,0.617,18,Email
404,32,654,Electronics,50,0.32,16,App
405,29,399,Entertainment,61,0.68,11,SMS
406,31,505,Electronics,34,0.359,14,SMS
407,21,105,Fast_Food,22,0.644,17,Email
408,22,171,Entertainment,29,0.109,20,App
409,37,244,Clothing,27,0.519,13,SMS
410,7,224,Fast_Food,54,0.521,19,Phone
411,26,208,Electronics,60,0.284,20,App
412,20,559,Entertainment,7,0.85,15,Phone
413,3,108,Entertainment,52,0.507,5,SMS
414,12,394,Fast_Food,66,0.606,11,Phone
415,33,82,Fast_Food,11,0.378,15,SMS
416,32,78,Electronics,4,0.321,6,App
417,31,347,Entertainment,33,0.404,16,Phone
418,33,620,Entertainment,22,0.352,0,SMS
419,7,165,Electronics,68,0.382,10,SMS
420,15,242,Groceries,60,0.359,8,Email
421,5,157,Entertainment,43,0.898,1,App
422,39,358,Clothing,62,0.257,2,Phone
423,2,470,Groceries,39,0.058,3,Email
424,7,351,Groceries,19,0.24,4,Phone
425,24,607,Clothing,52,0.565,5,Phone
426,13,502,Groceries,12,0.629,13,App
427,1,696,Clothing,35,0.064,2,Phone
428,34,644,Fast_Food,61,0.467,17,Email
429,3,25,Electronics,55,0.495,15,Phone
430,20,360,Clothing,48,0.697,3,App
431,17,202,Electronics,33,0.672,13,SMS
432,22,238,Electronics,68,0.313,20,Phone
433,22,460,Fast_Food,26,0.52,3,SMS
434,26,220,Electronics,52,0.34,9,Email
435,36,555,Groceries,8,0.266,19,Email
436,25,109,Groceries,44,0.309,20,SMS
437,31,577,Electronics,54,0.308,9,Email
438,19,161,Entertainment,45,0.358,17,App
439,24,286,Clothing,3,0.521,19,Email
440,0,350,Fast_Food,42,0.424,6,SMS
441,31,286,Clothing,17,0.88,12,App
442,17,541,Electronics,2,0.328,17,App
443,38,223,Clothing,11,0.46,2,SMS
444,32,456,Entertainment,62,0.602,9,App
445,9,414,Entertainment,4,0.139,13,SMS
446,14,545,Entertainment,47,0.916,5,App
447,25,541,Electronics,56,0.915,19,SMS
448,33,109,Clothing,28,0.234,8,App
449,0,330,Electronics,69,0.471,4,App
450,22,71,Clothing,30,0.19,6,Email
451,32,215,Groceries,33,0.371,6,Phone
452,11,643,Clothing,18,0.378,12,Phone
453,39,376,Fast_Food,37,0.006,18,Email
454,23,629,Electronics,14,0.294,6,Email
455,36,137,Electronics,42,0.606,8,SMS
456,13,267,Entertainment,45,0.105,0,SMS
457,31,68,Entertainment,51,0.84,3,SMS
458,38,211,Entertainment,66,0.895,10,SMS
459,10,452,Fast_Food,36,0.242,10,Phone
460,18,135,Entertainment,58,0.446,14,Phone
461,6,216,Electronics,22,0.275,3,App
462,9,526,Electronics,49,0.373,11,Phone
463,19,311,Entertainment,52,0.341,13,Email
464,29,70,Clothing,52,0.163,0,SMS
465,35,222,Electronics,56,0.586,12,SMS
466,9,449,Clothing,43,0.571,0,App
467,4,359,Fast_Food,68,0.88,11,Phone
468,1,185,Groceries,22,0.836,5,App
469,3,348,Entertainment,4,0.836,16,App
470,29,642,Electronics,5,0.67,2,SMS
471,11,400,Fast_Food,14,0.511,4,Phone
472,39,197,Groceries,21,0.078,17,Email
473,39,95,Clothing,1,0.966,18,Phone
474,6,594,Entertainment,50,0.127,0,SMS
475,36,54,Groceries,37,0.428,6,Phone
476,6,415,Groceries,38,0.158,15,Phone
477,10,303,Fast_Food,38,0.739,15,Phone
478,4,435,Entertainment,53,0.057,7,App
479,9,290,Fast_Food,50,0.869,9,SMS
480,13,561,Fast_Food,59,0.866,12,App
481,30,620,Groceries,27,0.855,18,Phone
482,35,503,Clothing,66,0.913,10,App
483,15,156,Clothing,16,0.529,9,Phone
484,36,152,Entertainment,9,0.707,12,Email
485,14,685,Fast_Food,33,0.892,13,App
486,20,294,Electronics,29,0.87,12,Email
487,10,499,Entertainment,48,0.966,10,App
488,18,113,Electronics,12,0.558,9,Email
489,8,80,Fast_Food,30,0.475,14,App
490,12,409,Electronics,12,0.218,13,Phone
491,11,496,Groceries,9,0.402,4,SMS
492,32,200,Entertainment,24,0.466,6,App
493,9,399,Groceries,24,0.486,5,Phone
494,20,609,Groceries,34,0.239,10,Email
495,17,45,Clothing,58,0.715,0,App
496,20,689,Entertainment,50,0.617,13,Phone
497,1,127,Fast_Food,12,0.943,12,Phone
498,4,587,Electronics,17,0.529,1,Email
499,28,537,Fast_Food,11,0.286,2,SMS
500,26,309,Fast_Food,24,0.759,2,Email
501,24,626,Entertainment,16,0.943,14,Phone
502,21,625,Fast_Food,6,0.967,0,Phone
503,35,149,Clothing,18,0.233,4,App
504,16,38,Clothing,63,0.679,8,App
505,36,336,Clothing,5,0.433,3,Phone
506,0,630,Entertainment,4,0.512,5,Phone
507,4,130,Electronics,22,0.84,16,SMS
508,5,389,Clothing,46,0.824,1,Email
509,34,104,Electronics,19,0.83,10,App
510,3,571,Entertainment,53,0.33,9,Email
511,20,32,Entertainment,64,0.905,15,SMS
512,34,118,Fast_Food,56,0.163,12,Email
513,15,605,Fast_Food,41,0.289,12,Email
514,10,285,Groceries,3,0.288,7,SMS
515,5,601,Clothing,13,0.527,14,SMS
516,16,377,Electronics,41,0.754,16,App
517,19,74,Clothing,58,0.456,12,Email
518,33,620,Entertainment,66,0.82,8,SMS
519,25,585,Clothing,28,0.666,0,SMS
520,37,533,Entertainment,3,0.208,4,App
521,24,176,Groceries,14,0.522,3,App
522,26,259,Clothing,60,0.415,15,Email
523,28,326,Entertainment,18,0.265,13,App
524,0,504,Fast_Food,43,0.79,19,App
525,9,310,Entertainment,61,0.717,8,Phone
526,29,95,Entertainment,55,0.902,15,Phone
527,29,625,Electronics,59,0.861,0,App
528,2,7,Clothing,38,0.241,15,Email
529,35,246,Groceries,51,0.115,1,SMS
530,0,98,Electronics,21,0.214,20,Phone
531,37,626,Groceries,22,0.094,15,SMS
532,38,682,Electronics,8,0.496,15,Email
533,4,256,Entertainment,28,0.165,11,Email
534,2,400,Fast_Food,15,0.045,18,Phone
535,8,439,Fast_Food,6,0.155,16,App
536,24,263,Clothing,32,0.514,4,Phone
537,22,387,Entertainment,59,0.826,3,Email
538,35,664,Electronics,25,0.805,15,SMS
539,23,561,Electronics,5,0.509,9,Email
540,8,284,Clothing,57,0.984,14,App
541,34,223,Electronics,14,0.091,2,App
542,24,536,Groceries,40,0.999,4,Phone
543,21,671,Electronics,37,0.539,12,App
544,17,346,Fast_Food,51,0.409,18,Phone
545,23,608,Entertainment,21,0.738,11,App
546,29,544,Entertainment,52,0.67,7,App
547,8,159,Electronics,50,0.498,12,Email
548,25,304,Entertainment,43,0.95,16,SMS
549,20,264,Fast_Food,58,0.166,14,Phone
550,16,434,Fast_Food,20,0.514,12,Email
551,16,378,Fast_Food,5,0.663,13,Phone
552,0,643,Clothing,8,0.679,3,Phone
553,36,582,Electronics,10,0.32,9,Phone
554,26,283,Fast_Food,36,0.14,12,Phone
555,20,333,Electronics,8,0.7,20,App
556,23,489,Entertainment,61,0.752,9,Email
557,30,285,Fast_Food,57,0.187,17,Email
558,13,287,Electronics,36,0.392,13,App
559,15,479,Fast_Food,68,0.096,1,Email
560,5,37,Fast_Food,6,0.95,4,Email
561,34,435,Clothing,50,0.735,0,Phone
562,16,332,Clothing,47,0.926,8,Phone
563,24,97,Clothing,40,0.852,16,Email
564,19,555,Entertainment,63,0.858,8,SMS
565,18,206,Clothing,5,0.526,19,App
566,38,84,Electronics,1,0.284,0,Email
567,33,317,Clothing,55,0.185,11,Phone
568,35,421,Clothing,14,0.996,5,App
569,27,83,Groceries,58,0.87,14,SMS
570,38,586,Electronics,34,0.113,6,SMS
571,12,401,Fast_Food,57,0.395,9,Phone
572,5,565,Clothing,37,0.524,10,Email
573,20,443,Groceries,28,0.176,13,App
574,1,290,Clothing,3,0.703,14,Phone
575,5,144,Clothing,16,0.79,12,Phone
576,34,471,Electronics,22,0.732,8,App
577,25,157,Clothing,34,0.433,3,Phone
578,30,444,Fast_Food,28,0.756,3,Phone
579,14,15,Entertainment,54,0.002,17,Phone
580,19,603,Entertainment,12,0.698,3,SMS
581,28,365,Clothing,66,0.65,13,Phone
582,11,471,Groceries,9,0.449,4,SMS
583,6,147,Fast_Food,43,0.954,4,Email
584,32,198,Entertainment,4,0.262,0,Phone
585,33,339,Electronics,53,0.577,7,App
586,11,499,Fast_Food,35,0.537,17,App
587,30,118,Entertainment,26,0.246,14,Email
588,35,653,Electronics,30,0.537,15,SMS
589,17,204,Clothing,28,0.438,2,App
590,19,187,Clothing,51,0.046,10,Email
591,5,242,Electronics,32,0.185,7,App
592,11,698,Entertainment,18,0.175,4,App
593,31,7,Entertainment,56,0.888,2,SMS
594,7,688,Entertainment,42,0.704,6,Email
595,26,324,Groceries,45,0.266,11,App
596,32,305,Electronics,12,0.968,17,App
597,13,479,Entertainment,17,0.269,18,SMS
598,11,146,Electronics,58,0.678,18,App
599,9,453,Electronics,33,0.779,16,SMS
600,0,112,Entertainment,46,0.096,0,App
601,22,567,Groceries,36,0.412,8,Email
602,28,331,Entertainment,56,0.519,4,App
603,36,483,Groceries,56,0.39,17,Phone
604,28,123,Fast_Food,61,0.501,5,SMS
