customer_id,monthly_spending,credit_score,payment_method,avg_payment_delay,payment_behavior_index,credit_limit
124,53,492,Bank Transfer,0,0.13,11020
125,863,634,Debit Card,11,0.66,7529
126,215,811,Debit Card,12,0.85,10216
127,826,804,Debit Card,2,0.15,14084
128,950,641,Debit Card,7,0.35,16096
129,707,341,Bank Transfer,5,0.16,14180
130,814,366,Debit Card,5,0.03,8079
131,618,849,E-Wallet,6,0.6,5144
132,367,429,Credit Card,5,0.2,11250
133,679,553,E-Wallet,14,0.71,7680
134,392,446,Debit Card,5,0.32,18746
135,584,395,Bank Transfer,11,0.3,14840
136,341,762,Debit Card,9,0.59,2601
137,686,314,E-Wallet,13,0.56,9160
138,491,575,Debit Card,4,0.21,13181
139,156,555,Bank Transfer,1,0.81,17725
140,723,537,Bank Transfer,2,0.71,1111
141,906,383,Credit Card,2,0.76,3572
142,270,642,Credit Card,6,0.09,5313
143,757,813,Credit Card,5,0.11,1425
144,193,699,E-Wallet,3,0.2,12076
145,855,747,Credit Card,11,0.32,9916
146,719,433,E-Wallet,9,0.59,4249
147,533,599,Credit Card,5,0.51,19940
148,579,582,E-Wallet,5,0.4,6778
149,692,818,Debit Card,7,0.39,3485
150,358,781,E-Wallet,7,0.29,1511
151,832,557,E-Wallet,11,0.76,19666
152,492,449,E-Wallet,11,0.04,6963
153,962,374,Credit Card,13,0.71,16334
154,406,632,Debit Card,4,0.74,1096
155,280,736,Debit Card,0,0.84,9008
156,615,749,Debit Card,12,0.52,15616
157,777,848,E-Wallet,8,0.76,9399
158,474,430,Bank Transfer,11,0.21,16838
159,912,624,Bank Transfer,9,0.18,17575
160,451,648,Debit Card,1,0.95,10002
161,171,603,Bank Transfer,9,0.99,13533
162,390,577,Credit Card,8,0.35,6400
163,835,354,Debit Card,12,0.7,5976
164,294,348,Debit Card,4,0.13,6471
165,454,546,Debit Card,6,0.76,7677
166,218,815,Debit Card,6,0.49,13531
167,232,598,Debit Card,2,0.77,17623
168,657,315,Debit Card,13,0.06,14327
169,320,773,Bank Transfer,8,0.92,2571
170,69,593,Bank Transfer,7,0.33,2789
171,29,754,E-Wallet,9,1,1141
172,786,761,Debit Card,14,0.84,8404
173,995,657,Bank Transfer,0,0.23,13684
174,649,658,Debit Card,0,0.43,14128
175,746,649,Debit Card,9,0.04,16368
176,992,410,Debit Card,7,0.99,13927
177,337,362,E-Wallet,2,0.92,10897
178,885,388,E-Wallet,8,0.06,15855
179,193,506,E-Wallet,2,0.23,14042
180,738,466,Bank Transfer,7,0.08,1480
181,268,432,Credit Card,0,0.85,10107
182,222,666,Debit Card,1,0.36,10728
183,484,602,Bank Transfer,11,0.68,7175
184,222,410,Debit Card,13,0.08,2830
185,899,387,Bank Transfer,11,0.62,15291
186,655,636,Debit Card,12,0.59,16343
187,116,610,Bank Transfer,14,0.9,1086
188,129,429,E-Wallet,2,0.39,13237
189,296,538,E-Wallet,5,0.47,6865
190,882,487,Credit Card,7,0.19,18236
191,26,331,Bank Transfer,5,0.88,19023
192,35,474,E-Wallet,1,0.84,10932
193,278,487,Bank Transfer,9,0.51,7435
194,302,340,E-Wallet,2,0.77,4840
195,680,811,Bank Transfer,2,0.42,6843
196,328,550,Bank Transfer,11,0.17,6043
197,272,686,E-Wallet,11,0.17,8685
198,593,749,E-Wallet,10,0.01,17534
199,216,834,E-Wallet,6,0.17,5614
200,697,408,Credit Card,6,0.39,12674
201,724,489,Credit Card,3,0.98,4945
202,704,539,Credit Card,8,0.34,9117
203,166,380,Debit Card,14,0.5,19728
204,773,610,Bank Transfer,12,0.72,16105
205,916,448,E-Wallet,6,0.57,12671
206,684,377,Bank Transfer,6,0.64,13479
207,133,516,E-Wallet,6,0.35,12836
208,597,786,E-Wallet,11,0.94,14458
209,267,344,Debit Card,11,0.85,7353
210,760,447,Debit Card,10,0.32,16299
211,484,827,Bank Transfer,3,0.12,5913
212,455,459,Credit Card,1,0.89,10598
213,894,632,Bank Transfer,1,0.8,12853
214,878,804,E-Wallet,13,0.09,7501
215,698,390,Bank Transfer,6,0.57,15531
216,289,324,E-Wallet,5,0.84,2947
217,808,303,Debit Card,13,0.35,11384
218,417,637,Bank Transfer,5,0.79,15988
219,991,619,Debit Card,8,0.83,19284
220,834,805,E-Wallet,4,0.84,2971
221,218,514,Bank Transfer,12,0.22,2934
222,704,632,Credit Card,13,0.21,12335
223,67,831,Debit Card,13,0.1,16648
224,518,542,Bank Transfer,2,0.09,16829
225,636,410,E-Wallet,5,0.44,11848
226,143,843,Debit Card,7,0.28,12258
227,53,304,Bank Transfer,13,0.06,2315
228,184,503,Credit Card,9,0.22,1709
229,245,423,Debit Card,0,0.05,10871
230,534,359,Credit Card,9,0.69,12429
231,452,730,E-Wallet,13,0.56,4877
232,778,376,Bank Transfer,2,0.86,6004
233,624,373,Bank Transfer,1,0.68,8186
234,239,728,Bank Transfer,14,0.17,5802
235,465,578,Debit Card,8,0.56,2158
236,365,513,E-Wallet,3,0.9,5529
237,909,402,Debit Card,10,0.26,11690
238,143,677,Bank Transfer,4,0.2,18006
239,908,690,E-Wallet,6,0.27,12387
240,396,731,E-Wallet,9,0.71,8927
241,449,761,Bank Transfer,2,0.58,4740
242,681,456,E-Wallet,7,0.04,6372
243,605,386,Debit Card,2,0.46,13180
244,588,550,E-Wallet,14,0.47,18499
245,26,819,E-Wallet,5,0.59,12041
246,668,685,Bank Transfer,12,0.38,13311
247,902,589,Bank Transfer,13,0.78,5735
248,38,541,Debit Card,12,0.99,2081
249,459,512,E-Wallet,11,0.98,17404
250,713,454,Bank Transfer,9,0.48,6923
251,71,525,Debit Card,11,0.43,12499
252,309,767,Credit Card,7,0.87,12392
253,396,794,Debit Card,3,0.42,4695
254,783,410,E-Wallet,9,0.44,9435
255,595,685,Credit Card,0,0.19,14615
256,926,408,E-Wallet,12,0.08,5425
257,670,620,Debit Card,3,0.7,10709
258,609,621,E-Wallet,14,0.55,9759
259,902,688,Bank Transfer,3,0.4,15005
260,120,391,Credit Card,10,0.23,15219
261,960,424,E-Wallet,11,0,1717
262,491,418,Debit Card,2,0.88,12619
263,330,577,E-Wallet,8,0.53,10545
264,186,645,Debit Card,12,0.17,17550
265,108,811,Debit Card,10,0.36,19414
266,390,706,Debit Card,12,0.03,5806
267,856,595,Credit Card,12,0.31,15709
268,89,363,Bank Transfer,2,0.81,9997
269,811,823,Credit Card,11,0.36,17154
270,41,784,Debit Card,0,0.92,15057
271,675,536,Bank Transfer,11,0.34,13806
272,373,743,Debit Card,0,0.11,15485
273,190,617,E-Wallet,14,0.63,3656
274,661,423,Debit Card,8,0.82,5716
275,619,648,Bank Transfer,8,0.74,2594
276,228,394,E-Wallet,2,0.64,6605
277,424,657,E-Wallet,12,0.46,5492
278,168,554,Bank Transfer,9,0.38,6467
279,150,683,Debit Card,6,0.33,3233
280,826,488,E-Wallet,8,0.68,18367
281,429,331,E-Wallet,8,0.27,2197
282,269,830,Debit Card,8,0.03,15530
283,848,588,Bank Transfer,12,0.09,15980
284,86,510,Debit Card,9,0.68,10232
285,370,811,Bank Transfer,14,0.78,1432
286,544,842,Credit Card,2,0.67,10694
287,834,668,Debit Card,0,0.04,9116
288,217,314,Bank Transfer,13,0.52,7848
289,128,332,Debit Card,3,0.94,5228
290,43,690,Credit Card,5,0.83,1787
291,438,509,Credit Card,8,0.36,18392
292,290,446,E-Wallet,4,0.18,3671
293,569,688,Bank Transfer,11,0.33,12260
294,761,847,Bank Transfer,13,0.94,9838
295,95,470,Debit Card,8,0.36,17384
296,244,549,Credit Card,1,0.84,17657
297,129,402,Debit Card,10,1,5670
298,754,351,Credit Card,14,0.74,18165
299,78,493,E-Wallet,2,0.55,16372
300,331,497,Bank Transfer,11,0.98,12820
301,706,586,E-Wallet,1,0.28,8385
302,639,478,Debit Card,2,0.27,9519
303,361,709,E-Wallet,8,0.29,8647
304,76,501,Bank Transfer,10,0.46,3705
305,832,374,Bank Transfer,13,0.66,6552
306,832,713,Credit Card,1,0.8,3367
307,104,417,Debit Card,13,0.45,9922
308,825,740,Bank Transfer,2,0.96,13735
309,181,737,E-Wallet,11,0.13,14939
310,495,778,Credit Card,11,0.56,7320
311,868,494,Bank Transfer,2,0.87,10578
312,260,691,Credit Card,8,0.21,9227
313,132,687,Debit Card,1,0.34,2445
314,757,513,Bank Transfer,10,0.28,2843
315,137,734,Credit Card,4,0.38,5936
316,484,722,Debit Card,1,0.07,10806
317,650,658,Bank Transfer,8,0.26,15316
318,126,477,Debit Card,14,0.64,18196
319,555,583,Credit Card,1,0.77,17856
320,716,334,Bank Transfer,7,0.62,14448
321,808,436,E-Wallet,12,0.87,1573
322,491,703,Credit Card,12,0.02,5296
323,446,597,Credit Card,14,0.04,5779
324,282,333,E-Wallet,11,0.52,17912
325,901,654,Bank Transfer,13,0.07,15394
326,952,788,Debit Card,1,0.64,7393
327,339,397,E-Wallet,9,0.65,4677
328,516,394,Debit Card,5,0.41,10430
329,106,833,E-Wallet,1,0.82,14370
330,398,834,Bank Transfer,8,0.84,14531
331,66,802,Bank Transfer,4,0.05,13744
332,467,368,Credit Card,2,0.85,10997
333,62,741,E-Wallet,2,0.52,5168
334,248,610,E-Wallet,12,0.71,2796
335,396,378,Debit Card,11,0.02,7352
336,461,504,Credit Card,11,0.49,7520
337,688,308,Credit Card,7,0.26,10587
338,948,309,Bank Transfer,13,0.03,18008
339,949,374,Credit Card,0,0.61,4128
340,132,335,E-Wallet,6,0.76,17817
341,479,776,Credit Card,9,0.52,9545
342,301,397,Credit Card,11,0.03,11174
343,132,648,Credit Card,2,0.61,1606
344,752,386,E-Wallet,0,0.72,14595
345,455,679,Debit Card,0,0.51,10892
346,280,678,Credit Card,3,0.41,9535
347,390,593,E-Wallet,3,0.85,1745
348,255,642,E-Wallet,11,0.22,19176
349,802,368,Debit Card,7,0.07,18491
350,982,785,Credit Card,4,0.22,3710
351,337,653,E-Wallet,4,0.54,14063
352,648,608,Bank Transfer,12,0.46,1464
353,684,430,E-Wallet,9,0.35,4974
354,200,672,Debit Card,6,0.87,1416
355,675,555,Bank Transfer,12,0.03,19737
356,907,606,Credit Card,10,0.57,16991
357,814,682,Credit Card,13,0.02,2820
358,24,341,E-Wallet,0,0.76,14576
359,670,740,Credit Card,14,0.2,5905
360,829,470,Credit Card,11,0.72,6843
361,369,534,Bank Transfer,14,0.23,6107
362,556,643,Bank Transfer,1,0.26,12393
363,44,662,Credit Card,14,0.19,17648
364,474,692,Bank Transfer,13,0.7,5933
365,275,590,Bank Transfer,2,0.6,9414
366,879,350,E-Wallet,11,0.69,4575
367,68,517,Debit Card,3,0.17,15837
368,925,513,Credit Card,2,0.3,10966
369,572,670,Credit Card,6,0.33,16865
370,449,785,E-Wallet,4,0.14,16625
371,537,689,Bank Transfer,11,0.33,1131
372,559,697,E-Wallet,2,0.86,14310
373,311,522,Debit Card,8,0.4,12864
374,502,626,Bank Transfer,8,0.68,9202
375,582,766,Bank Transfer,9,0.2,9525
376,96,376,Credit Card,7,0.94,19245
377,299,420,Bank Transfer,14,0.08,8797
378,549,561,Debit Card,14,0.83,1698
379,199,526,Credit Card,1,0.3,2647
380,612,486,Debit Card,6,0.53,8845
381,134,478,Credit Card,8,0.8,1508
382,983,323,E-Wallet,3,0.78,16826
383,620,681,E-Wallet,10,0.86,15055
384,463,601,Credit Card,11,0.93,5796
385,913,662,Debit Card,14,0.46,19881
386,69,807,Credit Card,1,0.12,1754
387,674,730,E-Wallet,13,0.98,4075
388,51,532,Debit Card,0,0.15,8528
389,772,352,Debit Card,0,0.18,5909
390,319,343,E-Wallet,2,0.51,8797
391,381,817,Bank Transfer,13,0.6,10934
392,364,661,Bank Transfer,6,0.74,7746
393,832,777,E-Wallet,5,0.91,16732
394,772,681,Credit Card,6,0.87,9640
395,203,795,Debit Card,1,0.32,14287
396,446,669,Debit Card,9,0.95,12403
397,152,565,Credit Card,10,0.01,2957
398,663,748,Bank Transfer,6,0.88,12824
399,920,490,E-Wallet,1,0.83,18307
400,758,444,E-Wallet,8,0.65,6646
401,250,536,E-Wallet,14,0.86,17790
402,60,553,E-Wallet,4,0.71,7267
403,304,485,E-Wallet,14,0.56,16689
404,257,422,Credit Card,0,0.65,6032
405,238,439,Debit Card,10,0.82,1643
406,978,427,Bank Transfer,4,0.12,7478
407,747,357,Credit Card,12,0.16,4115
408,323,637,Bank Transfer,14,0.72,6262
409,969,727,E-Wallet,3,0.38,15869
410,869,718,Credit Card,2,0.32,5523
411,403,309,Debit Card,8,0.7,10142
412,507,412,Bank Transfer,7,0.23,6298
413,256,771,E-Wallet,4,0.86,3508
414,852,618,E-Wallet,5,0.49,9687
415,480,587,E-Wallet,4,0.51,1610
416,866,532,Debit Card,3,0.01,8337
417,677,840,Credit Card,7,0.96,13576
418,878,423,Debit Card,7,0.52,8388
419,235,711,Credit Card,8,0.91,1468
420,62,401,E-Wallet,8,0.01,13432
421,292,782,Debit Card,0,0.4,17132
422,699,778,E-Wallet,13,0.54,1276
423,434,453,Bank Transfer,5,0.07,18666
424,261,755,Credit Card,8,0.31,8884
425,835,373,Debit Card,11,0.64,12583
426,605,713,Bank Transfer,14,0.91,18168
427,337,397,E-Wallet,9,0.13,17906
428,382,434,E-Wallet,7,0.29,11734
429,882,745,Bank Transfer,8,0.61,5605
430,466,697,Credit Card,2,0.57,2647
431,361,417,Debit Card,1,0.68,8261
432,122,541,E-Wallet,1,0.76,19492
433,846,786,E-Wallet,8,0.37,3677
434,702,574,Bank Transfer,7,0.24,11859
435,911,396,E-Wallet,4,0.33,11407
436,620,464,E-Wallet,12,0.98,5534
437,537,384,Bank Transfer,8,0.19,7024
438,992,431,Debit Card,3,0.77,6913
439,94,760,E-Wallet,5,0.93,14639
440,837,516,Debit Card,5,0.51,7684
441,813,634,E-Wallet,0,0.08,5870
442,376,725,Credit Card,6,0.69,8857
443,58,621,E-Wallet,8,0.1,7789
444,180,310,Credit Card,3,0.56,3718
445,87,446,E-Wallet,10,0.77,17319
446,128,807,E-Wallet,7,0.81,7792
447,893,400,Bank Transfer,14,0.47,1691
448,697,339,Bank Transfer,10,0.1,8589
449,241,641,Bank Transfer,11,0.65,12955
450,379,830,Debit Card,3,0.83,3472
451,452,515,E-Wallet,13,0.75,8776
452,62,805,Bank Transfer,11,0.79,2072
453,16,618,Bank Transfer,6,0.05,17160
454,526,338,Debit Card,7,0.37,16469
455,588,783,Debit Card,12,0.96,6617
456,497,542,Credit Card,13,0.7,6691
457,221,315,Credit Card,6,0.42,3349
458,367,585,E-Wallet,5,0.96,14603
459,707,509,E-Wallet,12,0.37,5086
460,399,804,Debit Card,7,0.42,14979
461,83,316,E-Wallet,11,0.27,1499
462,198,755,Credit Card,1,0.79,17142
463,265,507,E-Wallet,2,0.3,7704
464,769,314,Bank Transfer,3,0.66,10486
465,535,774,E-Wallet,4,0.52,4624
466,791,602,E-Wallet,12,0.94,10228
467,869,382,Credit Card,6,0.78,17607
468,572,669,Bank Transfer,5,0.49,13697
469,934,793,E-Wallet,1,0.79,19416
470,721,664,Bank Transfer,6,0.07,16816
471,578,716,E-Wallet,3,0.78,6356
472,388,349,Credit Card,3,0.52,10101
473,642,386,Debit Card,6,0.07,3490
474,666,804,E-Wallet,12,0.66,17110
475,489,674,E-Wallet,7,0.94,10825
476,518,644,Credit Card,6,0.49,16718
477,848,614,Credit Card,12,0.16,17229
478,310,604,Bank Transfer,5,0.28,5391
479,24,704,Debit Card,5,0.67,8298
480,175,312,Debit Card,0,0.17,17332
481,942,795,E-Wallet,13,0.92,16233
482,646,374,Bank Transfer,2,0.21,14861
483,401,777,Bank Transfer,4,0.15,6155
484,563,417,Bank Transfer,0,0.52,1805
485,21,740,Debit Card,13,0.89,10225
486,876,481,Debit Card,13,0.54,15192
487,571,441,E-Wallet,3,0.47,12527
488,45,329,Credit Card,4,0.15,7466
489,935,321,E-Wallet,14,0.61,3555
490,863,744,Debit Card,13,0.55,2231
491,952,747,Bank Transfer,3,0.67,14740
492,222,515,Debit Card,9,0,18664
493,270,533,Debit Card,8,0.6,16765
494,759,539,E-Wallet,3,0.51,1570
495,450,540,Bank Transfer,2,0.5,5074
496,944,597,Credit Card,6,0.34,3082
497,133,630,Credit Card,13,0.2,3790
498,505,378,Credit Card,10,0.97,15706
499,699,740,Credit Card,13,0.45,8138
500,386,784,Credit Card,7,0.26,2040
501,44,614,E-Wallet,4,0.47,9269
502,955,790,E-Wallet,9,0.55,17473
503,270,844,Credit Card,12,0.57,11449
504,569,408,E-Wallet,11,0.46,6441
505,560,657,E-Wallet,4,0.35,6040
506,295,511,E-Wallet,3,0.16,15637
507,636,545,E-Wallet,2,0.49,7589
508,566,352,Bank Transfer,11,0.85,17801
509,125,354,Debit Card,6,0.72,10820
510,584,452,Bank Transfer,2,0.56,12750
511,625,399,Debit Card,7,0.19,13644
512,86,774,E-Wallet,8,0.8,15107
513,724,669,Debit Card,2,0.97,12097
514,433,710,Bank Transfer,8,0.38,11159
515,541,358,E-Wallet,7,0.11,8750
516,745,670,Bank Transfer,13,0.88,4642
517,986,638,E-Wallet,2,0.23,6665
518,960,303,Credit Card,1,0.9,6401
519,911,563,Bank Transfer,10,0.67,9932
520,12,649,Credit Card,12,0.21,4263
521,194,824,E-Wallet,0,0.67,8948
522,101,476,Credit Card,12,0.26,5188
523,816,600,Credit Card,7,0.53,12777
524,77,673,E-Wallet,12,0.2,8213
525,476,525,Bank Transfer,13,0.23,4487
526,297,466,E-Wallet,10,0.2,11149
527,272,622,Debit Card,10,0.22,4120
528,550,485,Bank Transfer,13,0.58,8788
529,862,600,Credit Card,11,0.01,1336
530,165,543,E-Wallet,11,0.19,17687
531,723,739,Debit Card,12,0.47,4597
532,373,745,Debit Card,7,0.39,15842
533,733,541,Credit Card,12,0.34,17817
534,307,375,Credit Card,12,0.02,5095
535,300,655,E-Wallet,9,0.46,14614
536,692,304,Credit Card,9,0.2,8982
537,678,415,Credit Card,5,0.57,12938
538,144,447,Debit Card,2,0.56,6601
539,753,569,Credit Card,4,0.44,17761
540,745,643,Credit Card,2,0.53,2531
541,177,610,E-Wallet,6,0.37,3106
542,342,533,E-Wallet,3,0.36,9434
543,626,838,Credit Card,12,0.19,13477
544,794,501,Debit Card,6,0.48,10536
545,649,841,E-Wallet,9,0.6,18587
546,834,550,Credit Card,3,0.9,4073
547,270,761,Debit Card,5,0.92,14874
548,972,447,Debit Card,1,0.29,1416
549,867,775,Debit Card,3,0.1,16918
550,178,635,E-Wallet,10,0.56,8773
551,401,721,Credit Card,7,0.57,2820
552,310,337,Bank Transfer,5,0.55,19378
553,756,714,Debit Card,5,1,15968
554,52,666,Credit Card,14,0.15,9705
555,30,474,E-Wallet,12,0.48,11469
556,159,720,Credit Card,5,0.2,11132
557,135,598,Credit Card,3,0.39,2731
558,882,418,E-Wallet,6,0.34,3086
559,943,589,Credit Card,3,0.65,2236
560,109,616,Credit Card,1,0.64,19050
561,495,565,Debit Card,6,0.83,8643
562,453,371,Debit Card,11,0.34,14077
563,432,595,Debit Card,6,0.87,13849
564,603,714,Debit Card,4,0.44,3490
565,164,614,Bank Transfer,14,0.06,16628
566,786,705,Bank Transfer,4,0.05,13523
567,36,728,E-Wallet,4,0.37,16812
568,421,802,E-Wallet,12,0.72,14067
569,727,311,Debit Card,2,0.19,4672
570,240,778,Credit Card,13,0.31,7894
571,344,788,E-Wallet,4,0.56,19786
572,178,309,Credit Card,8,0.34,2911
573,984,697,E-Wallet,5,0.52,7748
574,28,549,Bank Transfer,12,0.71,16438
575,371,777,Credit Card,13,0.44,3769
576,693,826,Credit Card,7,0.04,4507
577,524,842,Debit Card,1,0.19,4991
578,529,605,Bank Transfer,1,0.73,18053
579,978,572,Bank Transfer,5,0.16,16067
580,777,364,Credit Card,14,0.45,11097
581,647,308,Debit Card,3,0.8,4360
582,157,510,Bank Transfer,0,0.85,15996
583,107,441,Bank Transfer,8,0.8,6033
584,378,340,Credit Card,4,0.08,18149
585,433,743,E-Wallet,3,0.7,1606
586,304,328,Bank Transfer,9,0.56,9749
587,922,455,Credit Card,2,0.71,14354
588,992,512,Debit Card,5,0.56,9193
589,827,665,Credit Card,0,0.95,1386
590,276,635,Bank Transfer,14,0.71,1064
591,605,708,Credit Card,8,0.8,12869
592,246,536,Credit Card,14,0.37,2796
593,121,836,Credit Card,5,0.87,14368
594,224,554,Credit Card,9,0.08,5750
595,970,596,Credit Card,2,0.3,19714
596,461,693,Credit Card,4,0.83,7858
597,387,617,Debit Card,9,0.34,15764
598,446,434,Debit Card,12,0.77,6804
599,633,698,Bank Transfer,5,0.98,7701
600,192,789,Bank Transfer,10,0.75,5466
601,207,447,Credit Card,0,0.35,16800
602,34,378,Bank Transfer,1,0.25,18697
603,230,382,E-Wallet,13,0.01,1378
604,501,643,Debit Card,11,0.54,6369
605,443,557,Bank Transfer,7,0.83,8660
606,502,542,E-Wallet,1,0.82,9449
607,690,357,Credit Card,9,0.96,8852
608,45,626,Debit Card,2,0.89,14817
609,378,376,Credit Card,6,0.4,3756
610,512,525,Credit Card,14,0.44,15321
611,553,318,Debit Card,5,0.18,19872
612,64,418,Debit Card,12,1,14675
613,219,594,Credit Card,11,0.48,1254
614,611,621,Credit Card,0,0.23,14810
615,695,798,Debit Card,4,0.1,6127
616,869,498,E-Wallet,9,0.75,6059
617,183,845,Credit Card,9,0.44,7364
618,996,718,Bank Transfer,13,0.23,10789
619,848,346,Debit Card,14,0.96,2699
620,359,390,Debit Card,1,0.9,15193
621,110,403,Bank Transfer,7,0.25,5450
622,521,516,Debit Card,10,0.72,1354
623,698,683,Bank Transfer,2,0.71,16599
624,488,308,Debit Card,9,0.15,5503
625,440,639,E-Wallet,6,0.21,15071
626,233,604,Debit Card,11,0.66,5952
627,497,791,Bank Transfer,3,0.89,10451
628,604,419,Debit Card,4,0.76,12771
629,301,379,Debit Card,1,0,13577
630,20,420,Bank Transfer,12,0.43,4751
631,68,789,Debit Card,9,0.12,5449
632,655,461,Credit Card,2,0.2,11161
633,831,332,E-Wallet,13,0.43,13308
634,371,412,Debit Card,8,0.9,2195
635,46,453,Bank Transfer,5,0.72,7243
636,881,535,E-Wallet,2,0.71,2700
637,704,805,Debit Card,0,0.59,6068
638,911,492,Credit Card,5,0.46,13092
639,223,414,E-Wallet,8,0.59,15785
640,528,486,Credit Card,14,0.02,18311
